frame_id,timestamp,fps,total_detections,global_action
1,1774686887.6124964,34.47,0,GO
2,1774686887.8343272,0.66,0,GO
3,1774686888.0388913,4.87,1,SLOW
4,1774686888.22862,5.19,1,SLOW
5,1774686888.4004848,5.85,1,SLOW
6,1774686888.573962,5.73,1,SLOW
7,1774686888.7579293,5.75,0,GO
8,1774686888.9424663,5.25,0,GO
9,1774686889.1155238,5.72,0,GO
10,1774686889.3233535,5.38,0,GO
11,1774686889.4999056,4.81,0,GO
12,1774686889.6949453,5.26,0,GO
13,1774686889.866012,5.78,0,GO
14,1774686890.0394886,5.8,0,GO
15,1774686890.2264621,5.25,0,GO
16,1774686890.3133967,7.57,0,GO
17,1774686890.3739014,14.39,0,GO
18,1774686890.4294262,17.86,0,GO
19,1774686890.4964247,14.59,0,GO
20,1774686890.5669324,16.0,0,GO
21,1774686890.6426873,12.31,0,GO
22,1774686890.7142184,13.79,0,GO
23,1774686890.779225,15.74,0,GO
24,1774686890.8449147,15.63,0,GO
25,1774686890.905919,15.7,0,GO
26,1774686890.9689584,16.12,0,GO
27,1774686891.0334716,15.87,0,GO
28,1774686891.0944793,15.74,0,GO
