frame_id,timestamp,fps,total_detections,global_action
1,1774683886.8102121,41.67,0,GO
2,1774683886.9732835,0.1,0,GO
3,1774683887.0674224,10.51,1,SLOW
4,1774683887.1459403,10.2,1,SLOW
5,1774683887.2194464,12.58,1,SLOW
6,1774683887.294841,12.74,1,SLOW
7,1774683887.3781152,12.77,1,SLOW
8,1774683887.454882,12.48,1,SLOW
9,1774683887.5365174,12.81,1,SLOW
10,1774683887.619013,12.12,1,SLOW
11,1774683887.6927347,13.48,1,SLOW
12,1774683887.7717347,12.04,1,SLOW
13,1774683887.849245,12.9,1,SLOW
14,1774683887.9267652,12.66,1,SLOW
15,1774683887.9921412,15.74,1,SLOW
16,1774683888.0701404,12.29,1,SLOW
17,1774683888.130649,16.13,1,SLOW
18,1774683888.2001674,15.75,1,SLOW
19,1774683888.2761703,12.58,1,SLOW
20,1774683888.3400702,16.2,1,SLOW
21,1774683888.4015985,15.34,1,SLOW
22,1774683888.4675992,15.74,1,SLOW
23,1774683888.5301101,15.87,1,SLOW
24,1774683888.5986207,15.75,1,SLOW
25,1774683888.670623,12.9,1,SLOW
26,1774683888.735893,15.6,1,SLOW
27,1774683888.8093865,12.96,1,SLOW
28,1774683888.8753843,15.74,1,SLOW
29,1774683888.9398935,16.0,1,SLOW
30,1774683889.0174181,12.66,1,SLOW
31,1774683889.0845015,15.74,1,SLOW
32,1774683889.1649284,12.58,1,SLOW
33,1774683889.2424333,12.27,1,SLOW
34,1774683889.3219466,12.99,1,SLOW
35,1774683889.400495,12.27,1,SLOW
36,1774683889.4784977,12.89,1,SLOW
37,1774683889.5400076,15.5,1,SLOW
38,1774683889.6061292,16.07,1,SLOW
39,1774683889.669129,15.65,1,SLOW
40,1774683889.7322774,15.62,1,SLOW
41,1774683889.7967885,15.84,1,SLOW
42,1774683889.8617892,15.75,1,SLOW
43,1774683889.94031,12.57,1,SLOW
44,1774683890.0197692,12.97,1,SLOW
45,1774683890.098238,12.0,1,SLOW
46,1774683890.1622376,16.27,1,SLOW
47,1774683890.2289002,15.62,1,SLOW
48,1774683890.3014202,12.71,1,SLOW
49,1774683890.3674242,16.25,1,SLOW
50,1774683890.4299355,15.62,1,SLOW
51,1774683890.4914417,15.74,1,SLOW
52,1774683890.5604444,15.26,1,SLOW
53,1774683890.6409605,12.66,1,SLOW
54,1774683890.7154691,12.58,1,SLOW
55,1774683890.7764764,16.26,1,SLOW
56,1774683890.8479872,15.26,1,SLOW
57,1774683890.926516,12.66,1,SLOW
58,1774683891.0090272,12.42,1,SLOW
59,1774683891.0860503,12.9,1,SLOW
60,1774683891.1628664,12.35,1,SLOW
61,1774683891.2223876,16.17,1,SLOW
62,1774683891.2903914,15.26,1,SLOW
63,1774683891.3688967,12.42,1,SLOW
64,1774683891.444426,13.24,1,SLOW
65,1774683891.5148072,15.38,1,SLOW
66,1774683891.589819,12.6,1,SLOW
67,1774683891.6563318,15.74,1,SLOW
68,1774683891.7388482,12.19,1,SLOW
69,1774683891.8143566,12.9,1,SLOW
70,1774683891.8813617,15.26,1,SLOW
71,1774683891.9585478,12.63,1,SLOW
72,1774683892.0340693,12.99,1,SLOW
73,1774683892.1015892,15.74,1,SLOW
74,1774683892.186599,12.74,1,SLOW
75,1774683892.2531323,12.73,1,SLOW
76,1774683892.3196473,15.87,1,SLOW
77,1774683892.3948138,12.87,1,SLOW
78,1774683892.455814,16.13,1,SLOW
79,1774683892.5215166,15.38,1,SLOW
80,1774683892.587947,15.85,1,SLOW
81,1774683892.6634543,12.26,1,SLOW
82,1774683892.7249694,16.39,1,SLOW
83,1774683892.790973,15.74,1,SLOW
84,1774683892.8554783,16.26,1,SLOW
85,1774683892.917991,15.15,1,SLOW
86,1774683892.9830132,15.5,1,SLOW
87,1774683893.0470736,16.11,1,SLOW
88,1774683893.1111813,15.15,1,SLOW
89,1774683893.1754487,15.6,1,SLOW
90,1774683893.242132,15.63,1,SLOW
91,1774683893.321703,12.5,1,SLOW
92,1774683893.3992095,12.41,1,SLOW
93,1774683893.4592092,16.26,1,SLOW
94,1774683893.5225766,16.13,1,SLOW
95,1774683893.5885854,16.04,1,SLOW
96,1774683893.663092,12.74,1,SLOW
97,1774683893.728611,15.62,1,SLOW
98,1774683893.7921133,16.26,1,SLOW
99,1774683893.8544023,16.0,1,SLOW
100,1774683893.9192,15.25,1,SLOW
101,1774683893.99872,12.74,1,SLOW
102,1774683894.073728,12.58,1,SLOW
103,1774683894.138624,16.03,1,SLOW
104,1774683894.2081463,15.5,1,SLOW
105,1774683894.2801485,12.57,1,SLOW
106,1774683894.346458,15.55,1,SLOW
107,1774683894.4136684,15.62,1,SLOW
108,1774683894.4907618,12.62,1,SLOW
109,1774683894.5706625,12.05,1,SLOW
110,1774683894.6491928,13.42,1,SLOW
111,1774683894.7107162,15.62,1,SLOW
112,1774683894.7737162,15.74,1,SLOW
113,1774683894.8382363,15.5,1,SLOW
114,1774683894.8977377,16.39,1,SLOW
115,1774683894.965619,15.53,1,SLOW
116,1774683895.027673,15.74,1,SLOW
117,1774683895.0906785,15.74,1,SLOW
118,1774683895.1531854,16.26,1,SLOW
119,1774683895.2152126,16.17,1,SLOW
120,1774683895.2792156,15.83,1,SLOW
121,1774683895.3477209,15.27,1,SLOW
122,1774683895.4232352,12.66,1,SLOW
123,1774683895.4892442,16.0,1,SLOW
124,1774683895.5667486,12.58,1,SLOW
125,1774683895.629193,15.62,1,SLOW
126,1774683895.691449,15.76,1,SLOW
127,1774683895.7569554,15.68,1,SLOW
128,1774683895.8284762,14.71,1,SLOW
129,1774683895.899994,13.24,1,SLOW
130,1774683895.9629939,15.74,1,SLOW
131,1774683896.0295095,15.62,1,SLOW
132,1774683896.105021,12.58,1,SLOW
133,1774683896.1711965,15.26,1,SLOW
134,1774683896.2517877,13.38,1,SLOW
135,1774683896.332531,12.19,1,SLOW
136,1774683896.4092205,13.05,1,SLOW
137,1774683896.4861448,12.71,1,SLOW
138,1774683896.5512705,15.35,1,SLOW
139,1774683896.6328123,12.5,1,SLOW
140,1774683896.7093506,12.94,1,SLOW
141,1774683896.7862697,12.39,1,SLOW
142,1774683896.8538013,15.99,1,SLOW
143,1774683896.9243195,13.16,1,SLOW
144,1774683896.9903243,15.74,1,SLOW
145,1774683897.0568333,15.27,1,SLOW
146,1774683897.1203494,16.13,1,SLOW
147,1774683897.197876,12.27,1,SLOW
148,1774683897.2628748,15.99,1,SLOW
149,1774683897.324385,15.62,1,SLOW
150,1774683897.3873901,15.75,1,SLOW
151,1774683897.4529161,15.74,1,SLOW
152,1774683897.5294344,12.82,1,SLOW
153,1774683897.5914955,15.74,1,SLOW
154,1774683897.6550002,16.24,1,SLOW
155,1774683897.7195208,15.87,1,SLOW
156,1774683897.7845235,15.5,1,SLOW
157,1774683897.865049,12.57,1,SLOW
158,1774683897.9435701,12.66,1,SLOW
159,1774683898.0250244,12.27,1,SLOW
160,1774683898.1034787,12.92,1,SLOW
161,1774683898.1815422,12.74,1,SLOW
162,1774683898.257475,12.67,1,SLOW
163,1774683898.31999,15.6,1,SLOW
164,1774683898.3899932,15.74,1,SLOW
165,1774683898.4655058,12.58,1,SLOW
166,1774683898.5278738,15.87,1,SLOW
167,1774683898.5881639,16.51,1,SLOW
168,1774683898.6516716,15.48,1,SLOW
169,1774683898.725196,15.38,1,SLOW
170,1774683898.801579,12.27,1,SLOW
171,1774683898.8762758,12.97,1,SLOW
172,1774683898.939787,15.87,1,SLOW
173,1774683899.002306,15.75,1,SLOW
174,1774683899.0673046,15.74,1,SLOW
175,1774683899.1338441,15.62,1,SLOW
176,1774683899.2153664,12.26,1,SLOW
177,1774683899.2883697,12.74,1,SLOW
178,1774683899.3468826,17.09,1,SLOW
179,1774683899.4174063,14.71,1,SLOW
180,1774683899.4959075,12.58,1,SLOW
181,1774683899.5619104,16.26,1,SLOW
182,1774683899.6404204,12.5,1,SLOW
183,1774683899.7019286,16.0,1,SLOW
184,1774683899.7659283,15.27,1,SLOW
185,1774683899.8334665,15.62,1,SLOW
186,1774683899.911451,12.65,1,SLOW
187,1774683899.974453,15.51,1,SLOW
188,1774683900.0419624,15.62,1,SLOW
189,1774683900.1205022,12.12,1,SLOW
190,1774683900.196633,13.24,1,SLOW
191,1774683900.259888,15.84,1,SLOW
192,1774683900.3234234,15.81,1,SLOW
193,1774683900.387426,15.26,1,SLOW
194,1774683900.4489326,15.75,1,SLOW
195,1774683900.5164506,15.62,1,SLOW
196,1774683900.5771735,16.26,1,SLOW
197,1774683900.6456814,15.1,1,SLOW
198,1774683900.723207,12.35,1,SLOW
199,1774683900.7862096,16.25,1,SLOW
200,1774683900.8483682,15.75,1,SLOW
201,1774683900.9190142,15.44,1,SLOW
202,1774683900.9930987,12.57,1,SLOW
203,1774683901.0600204,15.83,1,SLOW
204,1774683901.1355374,12.68,1,SLOW
205,1774683901.1980782,15.75,1,SLOW
206,1774683901.26307,15.99,1,SLOW
207,1774683901.327611,15.62,1,SLOW
208,1774683901.4031243,12.57,1,SLOW
209,1774683901.466123,15.74,1,SLOW
210,1774683901.5302858,15.87,1,SLOW
211,1774683901.5920846,16.25,1,SLOW
212,1774683901.6575897,15.17,1,SLOW
213,1774683901.7231228,16.13,1,SLOW
214,1774683901.800084,12.73,1,SLOW
215,1774683901.8616626,16.25,1,SLOW
216,1774683901.924198,15.62,1,SLOW
217,1774683901.9892032,15.74,1,SLOW
218,1774683902.053264,16.0,1,SLOW
219,1774683902.120779,15.49,1,SLOW
220,1774683902.197301,12.58,1,SLOW
221,1774683902.2719822,12.96,1,SLOW
222,1774683902.336522,15.37,1,SLOW
223,1774683902.4070249,15.74,1,SLOW
224,1774683902.48603,12.27,1,SLOW
225,1774683902.5585365,12.9,1,SLOW
226,1774683902.6306226,15.15,1,SLOW
227,1774683902.7076266,12.97,1,SLOW
228,1774683902.7836273,12.66,1,SLOW
229,1774683902.8451326,15.75,1,SLOW
230,1774683902.9106543,15.62,1,SLOW
231,1774683902.9886587,13.07,1,SLOW
232,1774683903.0503619,15.59,1,SLOW
233,1774683903.1175418,15.25,1,SLOW
234,1774683903.196546,12.79,1,SLOW
235,1774683903.272683,12.6,1,SLOW
236,1774683903.3351939,15.68,1,SLOW
237,1774683903.4027095,14.81,1,SLOW
238,1774683903.477705,13.42,1,SLOW
239,1774683903.5422132,15.27,1,SLOW
240,1774683903.605729,16.13,1,SLOW
241,1774683903.6747289,16.0,1,SLOW
242,1774683903.7516003,12.11,1,SLOW
243,1774683903.830111,13.28,1,SLOW
244,1774683903.9056225,12.74,1,SLOW
245,1774683903.9696238,16.0,1,SLOW
246,1774683904.0361335,15.38,1,SLOW
247,1774683904.1128802,12.9,1,SLOW
248,1774683904.1898878,12.54,1,SLOW
249,1774683904.2554111,16.25,1,SLOW
250,1774683904.3311985,12.35,1,SLOW
251,1774683904.3949885,15.73,1,SLOW
252,1774683904.4604948,15.75,1,SLOW
253,1774683904.5230153,15.63,1,SLOW
254,1774683904.5860157,16.26,1,SLOW
255,1774683904.6465237,16.26,1,SLOW
256,1774683904.7120435,15.38,1,SLOW
257,1774683904.7750409,16.0,1,SLOW
258,1774683904.8445654,15.38,1,SLOW
259,1774683904.923084,12.27,1,SLOW
260,1774683904.9975958,13.42,1,SLOW
261,1774683905.066601,15.26,1,SLOW
262,1774683905.138119,12.82,1,SLOW
263,1774683905.2056282,16.26,1,SLOW
264,1774683905.280628,12.12,1,SLOW
265,1774683905.3426542,16.95,1,SLOW
266,1774683905.4132037,14.92,1,SLOW
267,1774683905.4862068,13.24,1,SLOW
268,1774683905.5477068,15.5,1,SLOW
269,1774683905.6102424,16.39,1,SLOW
270,1774683905.674425,15.26,1,SLOW
271,1774683905.738095,15.54,1,SLOW
272,1774683905.8078616,14.98,1,SLOW
273,1774683905.8808627,13.24,1,SLOW
274,1774683905.9443707,15.75,1,SLOW
275,1774683906.007941,15.87,1,SLOW
276,1774683906.0729406,15.73,1,SLOW
277,1774683906.1334534,15.62,1,SLOW
278,1774683906.202964,14.81,1,SLOW
279,1774683906.2769635,13.24,1,SLOW
280,1774683906.34323,15.97,1,SLOW
281,1774683906.4107456,15.24,1,SLOW
282,1774683906.492783,12.57,1,SLOW
283,1774683906.566084,12.93,1,SLOW
284,1774683906.628609,15.62,1,SLOW
285,1774683906.691617,15.74,1,SLOW
286,1774683906.7591257,15.5,1,SLOW
287,1774683906.8356407,12.66,1,SLOW
288,1774683906.8991477,16.0,1,SLOW
289,1774683906.9656534,15.15,1,SLOW
290,1774683907.0451648,12.82,1,SLOW
291,1774683907.124687,12.58,1,SLOW
292,1774683907.2006915,12.58,1,SLOW
293,1774683907.2649977,15.55,1,SLOW
294,1774683907.3315167,15.62,1,SLOW
295,1774683907.4079802,12.9,1,SLOW
296,1774683907.472739,16.49,1,SLOW
297,1774683907.5452554,12.65,1,SLOW
298,1774683907.6107836,15.62,1,SLOW
299,1774683907.6747835,15.5,1,SLOW
300,1774683907.737312,15.87,1,SLOW
301,1774683907.803819,14.81,1,SLOW
302,1774683907.879819,13.24,1,SLOW
303,1774683907.9433336,15.87,1,SLOW
304,1774683908.0108645,15.5,1,SLOW
305,1774683908.087868,12.27,1,SLOW
306,1774683908.1493745,16.0,1,SLOW
307,1774683908.2088895,16.67,1,SLOW
308,1774683908.2748892,15.74,1,SLOW
309,1774683908.3424127,15.15,1,SLOW
310,1774683908.4059355,16.0,1,SLOW
311,1774683908.4659367,15.99,1,SLOW
312,1774683908.5354538,15.38,1,SLOW
313,1774683908.6144266,12.27,1,SLOW
314,1774683908.688432,12.99,1,SLOW
315,1774683908.7549381,15.5,1,SLOW
316,1774683908.830455,13.16,1,SLOW
317,1774683908.8964615,15.74,1,SLOW
318,1774683908.9579687,15.5,1,SLOW
319,1774683909.0275393,16.13,1,SLOW
320,1774683909.1019926,12.27,1,SLOW
321,1774683909.1659942,15.75,1,SLOW
322,1774683909.228516,15.87,1,SLOW
323,1774683909.293522,15.74,1,SLOW
324,1774683909.3551843,15.92,1,SLOW
325,1774683909.4197028,15.66,1,SLOW
326,1774683909.4837043,15.74,1,SLOW
327,1774683909.5472972,16.13,1,SLOW
328,1774683909.6127317,15.27,1,SLOW
329,1774683909.6917346,12.42,1,SLOW
330,1774683909.7672403,13.07,1,SLOW
331,1774683909.833084,15.63,1,SLOW
332,1774683909.9101977,12.68,1,SLOW
333,1774683909.974181,16.07,1,SLOW
334,1774683910.0377853,15.4,1,SLOW
335,1774683910.1011274,15.26,1,SLOW
336,1774683910.1631312,16.3,1,SLOW
337,1774683910.2286549,15.62,1,SLOW
338,1774683910.2926602,15.74,1,SLOW
339,1774683910.3613393,16.0,1,SLOW
340,1774683910.4308677,12.79,1,SLOW
341,1774683910.4959307,15.99,1,SLOW
342,1774683910.5648382,15.25,1,SLOW
343,1774683910.635967,12.98,1,SLOW
344,1774683910.702488,15.75,1,SLOW
345,1774683910.7614872,15.99,1,SLOW
346,1774683910.8300018,15.63,1,SLOW
347,1774683910.8896399,15.99,1,SLOW
348,1774683910.9561648,15.12,1,SLOW
349,1774683911.0186763,16.13,1,SLOW
350,1774683911.0804424,15.5,1,SLOW
351,1774683911.1438005,16.77,1,SLOW
352,1774683911.2103255,15.04,1,SLOW
353,1774683911.2893252,12.42,1,SLOW
354,1774683911.3522687,16.1,1,SLOW
355,1774683911.4137836,15.92,1,SLOW
356,1774683911.4797816,15.26,1,SLOW
357,1774683911.5393245,16.66,1,SLOW
358,1774683911.6048422,15.26,1,SLOW
359,1774683911.6678407,15.74,1,SLOW
360,1774683911.7322125,15.73,1,SLOW
361,1774683911.800235,15.93,1,SLOW
362,1774683911.8727472,12.73,1,SLOW
363,1774683911.93926,15.62,1,SLOW
364,1774683912.0002642,16.26,1,SLOW
365,1774683912.065769,15.26,1,SLOW
366,1774683912.1282952,15.62,1,SLOW
367,1774683912.1962993,15.74,1,SLOW
368,1774683912.2738333,12.57,1,SLOW
369,1774683912.3373342,15.62,1,SLOW
370,1774683912.401847,16.26,1,SLOW
371,1774683912.4838507,12.27,1,SLOW
372,1774683912.5581968,12.6,1,SLOW
373,1774683912.6228096,16.13,1,SLOW
374,1774683912.700814,12.56,1,SLOW
375,1774683912.7633226,16.26,1,SLOW
376,1774683912.8268342,15.38,1,SLOW
377,1774683912.887839,15.74,1,SLOW
378,1774683912.9539356,15.26,1,SLOW
379,1774683913.0156865,16.9,1,SLOW
380,1774683913.0776875,15.35,1,SLOW
381,1774683913.1412063,15.62,1,SLOW
382,1774683913.2037165,16.26,1,SLOW
383,1774683913.2681644,15.78,1,SLOW
384,1774683913.3316748,15.24,1,SLOW
385,1774683913.3977191,16.0,1,SLOW
386,1774683913.4590492,15.53,1,SLOW
387,1774683913.5238268,15.87,1,SLOW
388,1774683913.5908294,15.93,1,SLOW
389,1774683913.6663365,12.58,1,SLOW
390,1774683913.7306373,15.63,1,SLOW
391,1774683913.7958424,15.5,1,SLOW
392,1774683913.874537,12.87,1,SLOW
393,1774683913.9540517,12.58,1,SLOW
394,1774683914.0336506,12.66,1,SLOW
395,1774683914.1084783,12.67,1,SLOW
396,1774683914.1707973,16.0,1,SLOW
397,1774683914.2329705,16.13,1,SLOW
398,1774683914.2969754,15.75,1,SLOW
399,1774683914.3580952,15.84,1,SLOW
400,1774683914.4216135,16.13,1,SLOW
401,1774683914.485614,15.74,1,SLOW
402,1774683914.549127,15.75,1,SLOW
403,1774683914.6116447,15.62,1,SLOW
404,1774683914.6816459,15.74,1,SLOW
405,1774683914.756963,12.45,1,SLOW
406,1774683914.8204808,16.39,1,SLOW
407,1774683914.8874786,15.03,1,SLOW
408,1774683914.9629934,12.9,1,SLOW
409,1774683915.0236797,16.13,1,SLOW
410,1774683915.0898635,15.61,1,SLOW
411,1774683915.154369,15.55,1,SLOW
412,1774683915.2211707,15.09,1,SLOW
413,1774683915.294174,13.24,1,SLOW
414,1774683915.3607752,15.48,1,SLOW
415,1774683915.436286,12.82,1,SLOW
416,1774683915.5002902,16.26,1,SLOW
417,1774683915.562595,16.0,1,SLOW
418,1774683915.6241078,15.43,1,SLOW
419,1774683915.6901104,15.74,1,SLOW
420,1774683915.7536159,15.27,1,SLOW
421,1774683915.8181274,16.13,1,SLOW
422,1774683915.8871279,15.75,1,SLOW
423,1774683915.962639,12.42,1,SLOW
424,1774683916.0371556,12.82,1,SLOW
425,1774683916.1066697,15.74,1,SLOW
426,1774683916.1826704,12.27,1,SLOW
427,1774683916.2511206,16.26,1,SLOW
428,1774683916.327633,12.36,1,SLOW
429,1774683916.408145,12.58,1,SLOW
430,1774683916.485145,12.9,1,SLOW
431,1774683916.5526597,15.62,1,SLOW
432,1774683916.627179,12.9,1,SLOW
433,1774683916.70973,12.42,1,SLOW
434,1774683916.7850275,13.24,1,SLOW
435,1774683916.8674033,12.3,1,SLOW
436,1774683916.9398434,13.12,1,SLOW
437,1774683917.0007715,15.74,1,SLOW
438,1774683917.072282,15.26,1,SLOW
439,1774683917.1502342,12.75,1,SLOW
440,1774683917.226738,12.74,1,SLOW
441,1774683917.2887383,15.75,1,SLOW
442,1774683917.353246,15.5,1,SLOW
443,1774683917.4147594,16.39,1,SLOW
444,1774683917.4777596,15.74,1,SLOW
445,1774683917.5422754,15.15,1,SLOW
446,1774683917.6067858,15.74,1,SLOW
447,1774683917.6677887,16.26,1,SLOW
448,1774683917.7333038,15.15,1,SLOW
449,1774683917.7983074,15.74,1,SLOW
450,1774683917.8628144,15.26,1,SLOW
451,1774683917.929333,16.13,1,SLOW
452,1774683918.0078413,12.27,1,SLOW
453,1774683918.0827103,13.33,1,SLOW
454,1774683918.1452253,15.29,1,SLOW
455,1774683918.2097373,15.75,1,SLOW
456,1774683918.2717373,16.0,1,SLOW
457,1774683918.3342538,15.87,1,SLOW
458,1774683918.3981876,15.74,1,SLOW
459,1774683918.4618816,15.97,1,SLOW
460,1774683918.5274003,15.62,1,SLOW
461,1774683918.588398,15.74,1,SLOW
462,1774683918.6509056,16.0,1,SLOW
463,1774683918.7124171,16.13,1,SLOW
464,1774683918.7783403,15.61,1,SLOW
465,1774683918.8466055,15.3,1,SLOW
466,1774683918.92212,12.62,1,SLOW
467,1774683918.9831204,16.26,1,SLOW
468,1774683919.0486448,15.62,1,SLOW
469,1774683919.1111555,15.5,1,SLOW
470,1774683919.1761553,16.0,1,SLOW
471,1774683919.2376697,15.62,1,SLOW
472,1774683919.2996736,16.26,1,SLOW
473,1774683919.3661792,15.26,1,SLOW
474,1774683919.4306955,15.62,1,SLOW
475,1774683919.4926982,16.0,1,SLOW
476,1774683919.5552087,15.74,1,SLOW
477,1774683919.6217248,15.62,1,SLOW
478,1774683919.682725,15.74,1,SLOW
479,1774683919.7532387,15.63,1,SLOW
480,1774683919.8267567,12.74,1,SLOW
481,1774683919.891461,16.0,1,SLOW
482,1774683919.9515502,15.87,1,SLOW
483,1774683920.0161693,15.93,1,SLOW
484,1774683920.0780885,15.49,1,SLOW
485,1774683920.1397548,16.47,1,SLOW
486,1774683920.2047603,15.4,1,SLOW
487,1774683920.2652657,16.53,1,SLOW
488,1774683920.330564,15.15,1,SLOW
489,1774683920.3905637,16.31,1,SLOW
490,1774683920.4574027,15.27,1,SLOW
491,1774683920.520915,15.79,1,SLOW
492,1774683920.582915,15.74,1,SLOW
493,1774683920.6474233,15.63,1,SLOW
494,1774683920.7135873,15.5,1,SLOW
495,1774683920.7755873,15.83,1,SLOW
496,1774683920.8380964,15.87,1,SLOW
497,1774683920.9031022,15.75,1,SLOW
498,1774683920.966607,16.53,1,SLOW
499,1774683921.0331461,15.15,1,SLOW
500,1774683921.1096554,12.42,1,SLOW
501,1774683921.170655,16.26,1,SLOW
502,1774683921.2341642,15.62,1,SLOW
503,1774683921.2991676,15.75,1,SLOW
504,1774683921.3592963,16.36,1,SLOW
505,1774683921.4278166,15.38,1,SLOW
506,1774683921.5025349,13.25,1,SLOW
507,1774683921.5647273,15.88,1,SLOW
508,1774683921.628241,15.38,1,SLOW
509,1774683921.6932414,15.74,1,SLOW
510,1774683921.7527504,16.0,1,SLOW
511,1774683921.8182662,15.38,1,SLOW
512,1774683921.881266,16.0,1,SLOW
513,1774683921.949786,15.15,1,SLOW
514,1774683922.0102997,16.0,1,SLOW
515,1774683922.073299,15.74,1,SLOW
516,1774683922.1398127,16.13,1,SLOW
517,1774683922.2038214,15.26,1,SLOW
518,1774683922.269324,15.5,1,SLOW
519,1774683922.345834,12.35,1,SLOW
520,1774683922.40584,16.8,1,SLOW
