frame_id,track_id,class,dist_m,speed_ms,ttc_s,state
3,1,Obstacle,0.525,0.0,inf,STATIC
4,1,Obstacle,0.526,-0.0,inf,DYNAMIC
5,1,Obstacle,0.527,-0.0,inf,DYNAMIC
6,1,Obstacle,0.527,-0.0,inf,DYNAMIC
7,1,Obstacle,0.527,-0.001,inf,DYNAMIC
8,1,Obstacle,0.528,-0.001,inf,STATIC
9,1,Obstacle,0.527,-0.001,inf,STATIC
10,1,Obstacle,0.526,-0.0,inf,STATIC
11,1,Obstacle,0.526,0.001,inf,STATIC
12,1,Obstacle,0.525,0.001,inf,STATIC
13,1,Obstacle,0.525,0.002,inf,STATIC
14,1,Obstacle,0.525,0.002,inf,STATIC
15,1,Obstacle,0.525,0.002,inf,STATIC
16,1,Obstacle,0.525,0.002,inf,STATIC
17,1,Obstacle,0.526,0.002,inf,STATIC
18,1,Obstacle,0.526,0.001,inf,STATIC
19,1,Obstacle,0.527,0.001,inf,STATIC
20,1,Obstacle,0.527,0.0,inf,STATIC
21,1,Obstacle,0.527,0.0,inf,STATIC
22,1,Obstacle,0.526,0.0,inf,STATIC
23,1,Obstacle,0.526,0.0,inf,STATIC
24,1,Obstacle,0.526,0.001,inf,STATIC
25,1,Obstacle,0.525,0.001,inf,STATIC
26,1,Obstacle,0.525,0.001,inf,STATIC
27,1,Obstacle,0.525,0.001,inf,STATIC
28,1,Obstacle,0.525,0.001,inf,STATIC
29,1,Obstacle,0.525,0.001,inf,STATIC
30,1,Obstacle,0.525,0.001,inf,STATIC
31,1,Obstacle,0.525,0.001,inf,STATIC
32,1,Obstacle,0.525,0.001,inf,STATIC
33,1,Obstacle,0.525,0.001,inf,STATIC
34,1,Obstacle,0.525,0.001,inf,STATIC
35,1,Obstacle,0.525,0.001,inf,STATIC
36,1,Obstacle,0.525,0.001,inf,STATIC
37,1,Obstacle,0.525,0.001,inf,STATIC
38,1,Obstacle,0.525,0.001,inf,STATIC
39,1,Obstacle,0.525,0.001,inf,STATIC
40,1,Obstacle,0.525,0.001,inf,STATIC
41,1,Obstacle,0.525,0.001,inf,STATIC
42,1,Obstacle,0.525,0.001,inf,STATIC
43,1,Obstacle,0.525,0.001,inf,STATIC
44,1,Obstacle,0.525,0.0,inf,STATIC
45,1,Obstacle,0.525,0.0,inf,STATIC
46,1,Obstacle,0.526,0.0,inf,STATIC
47,1,Obstacle,0.526,-0.0,inf,STATIC
48,1,Obstacle,0.526,-0.0,inf,STATIC
49,1,Obstacle,0.526,-0.0,inf,STATIC
50,1,Obstacle,0.526,-0.0,inf,STATIC
51,1,Obstacle,0.527,-0.001,inf,STATIC
52,1,Obstacle,0.527,-0.001,inf,STATIC
53,1,Obstacle,0.527,-0.001,inf,STATIC
54,1,Obstacle,0.527,-0.001,inf,STATIC
55,1,Obstacle,0.528,-0.001,inf,STATIC
56,1,Obstacle,0.528,-0.001,inf,STATIC
57,1,Obstacle,0.527,-0.001,inf,STATIC
58,1,Obstacle,0.527,-0.001,inf,STATIC
59,1,Obstacle,0.526,-0.001,inf,STATIC
60,1,Obstacle,0.526,-0.0,inf,STATIC
61,1,Obstacle,0.525,-0.0,inf,STATIC
62,1,Obstacle,0.525,0.0,inf,STATIC
63,1,Obstacle,0.526,0.0,inf,STATIC
