frame_id,timestamp,fps,total_detections,global_action
1,1774685389.8430293,44.21,0,GO
2,1774685389.9228055,0.74,0,GO
3,1774685389.981805,16.8,0,GO
4,1774685390.043324,15.87,0,GO
5,1774685390.112587,15.74,0,GO
6,1774685390.1760929,16.46,0,GO
7,1774685390.2366152,15.63,0,GO
8,1774685390.3016186,15.74,0,GO
9,1774685390.3661277,15.74,0,GO
10,1774685390.4256563,15.39,0,GO
11,1774685390.4856565,16.52,0,GO
12,1774685390.5561733,14.29,0,GO
13,1774685390.611115,17.69,0,GO
14,1774685390.673632,16.01,0,GO
15,1774685390.7371428,15.63,0,GO
16,1774685390.8001432,15.75,0,GO
17,1774685390.8646536,15.75,0,GO
18,1774685390.935204,15.87,0,GO
19,1774685390.9942057,15.73,0,GO
20,1774685391.0587127,15.63,0,GO
21,1774685391.1182323,15.75,0,GO
22,1774685391.1812315,15.99,0,GO
23,1774685391.2477477,15.38,0,GO
24,1774685391.313751,16.0,0,GO
25,1774685391.3692555,16.0,0,GO
26,1774685391.4337656,15.63,0,GO
27,1774685391.4967659,15.75,0,GO
28,1774685391.5622725,16.0,0,GO
29,1774685391.6237903,15.62,0,GO
30,1774685391.686792,15.74,0,GO
31,1774685391.7532992,15.15,0,GO
32,1774685391.819809,15.5,0,GO
33,1774685391.877809,16.53,0,GO
34,1774685391.9513326,15.15,0,GO
35,1774685392.008006,15.74,0,GO
36,1774685392.0765102,16.08,0,GO
37,1774685392.138027,15.38,0,GO
38,1774685392.2040281,15.5,0,GO
39,1774685392.2595649,16.52,0,GO
40,1774685392.3260806,15.63,0,GO
41,1774685392.3870804,15.74,0,GO
42,1774685392.4506035,15.87,0,GO
43,1774685392.5126085,16.0,0,GO
44,1774685392.579113,15.04,0,GO
45,1774685392.6426227,16.13,0,GO
46,1774685392.706624,15.75,0,GO
47,1774685392.7701285,16.0,0,GO
48,1774685392.8356442,15.38,0,GO
49,1774685392.8946445,16.26,0,GO
50,1774685392.9591732,15.5,0,GO
51,1774685393.022682,15.87,0,GO
52,1774685393.0896819,15.75,0,GO
53,1774685393.1482072,16.39,0,GO
54,1774685393.223716,14.81,0,GO
55,1774685393.2987177,13.07,0,GO
56,1774685393.3573284,15.62,0,GO
57,1774685393.4188359,15.72,0,GO
58,1774685393.486836,15.75,0,GO
59,1774685393.5463498,15.62,0,GO
60,1774685393.612355,15.75,0,GO
61,1774685393.6738596,15.75,0,GO
62,1774685393.737371,15.62,0,GO
63,1774685393.8013713,16.26,0,GO
64,1774685393.8631375,15.68,0,GO
65,1774685393.9316828,15.15,0,GO
66,1774685393.9896817,16.25,0,GO
67,1774685394.0561888,15.38,0,GO
68,1774685394.1216986,15.75,0,GO
69,1774685394.1836987,15.75,1,SLOW
70,1774685394.2492142,15.62,1,SLOW
71,1774685394.3162205,15.75,1,SLOW
