frame_id,track_id,class,dist_m,speed_ms,ttc_s,state
69,1,Obstacle,0.747,0.0,inf,STATIC
70,1,Obstacle,0.747,-0.0,inf,DYNAMIC
71,1,Obstacle,0.747,-0.0,inf,DYNAMIC
72,1,Obstacle,0.747,-0.0,inf,DYNAMIC
73,1,Obstacle,0.748,-0.0,inf,DYNAMIC
74,1,Obstacle,0.748,-0.0,inf,DYNAMIC
75,1,Obstacle,0.748,-0.001,inf,DYNAMIC
76,1,Obstacle,0.748,-0.001,inf,DYNAMIC
77,1,Obstacle,0.747,-0.0,inf,DYNAMIC
78,1,Obstacle,0.746,0.0,inf,DYNAMIC
79,1,Obstacle,0.745,0.001,inf,DYNAMIC
80,1,Obstacle,0.745,0.002,inf,DYNAMIC
81,1,Obstacle,0.744,0.003,inf,DYNAMIC
82,1,Obstacle,0.744,0.003,inf,DYNAMIC
83,1,Obstacle,0.744,0.003,inf,DYNAMIC
84,1,Obstacle,0.744,0.003,inf,STATIC
85,1,Obstacle,0.743,0.004,inf,STATIC
86,1,Obstacle,0.742,0.004,inf,STATIC
87,1,Obstacle,0.741,0.005,inf,STATIC
88,1,Obstacle,0.74,0.005,inf,STATIC
89,1,Obstacle,0.74,0.006,inf,STATIC
90,1,Obstacle,0.74,0.006,inf,DYNAMIC
91,1,Obstacle,0.739,0.006,inf,DYNAMIC
92,1,Obstacle,0.739,0.006,inf,DYNAMIC
93,1,Obstacle,0.739,0.006,inf,DYNAMIC
94,1,Obstacle,0.739,0.005,inf,DYNAMIC
95,1,Obstacle,0.739,0.005,inf,STATIC
96,1,Obstacle,0.739,0.005,inf,DYNAMIC
97,1,Obstacle,0.739,0.005,inf,DYNAMIC
98,1,Obstacle,0.739,0.005,inf,DYNAMIC
99,1,Obstacle,0.738,0.005,inf,DYNAMIC
100,1,Obstacle,0.737,0.005,inf,DYNAMIC
101,1,Obstacle,0.736,0.005,inf,STATIC
102,1,Obstacle,0.736,0.005,inf,STATIC
103,1,Obstacle,0.735,0.006,inf,STATIC
104,1,Obstacle,0.735,0.006,inf,STATIC
105,1,Obstacle,0.734,0.006,inf,STATIC
106,1,Obstacle,0.733,0.006,inf,DYNAMIC
107,1,Obstacle,0.732,0.006,inf,DYNAMIC
108,1,Obstacle,0.732,0.007,inf,DYNAMIC
109,1,Obstacle,0.731,0.007,inf,DYNAMIC
110,1,Obstacle,0.731,0.007,inf,DYNAMIC
111,1,Obstacle,0.731,0.007,inf,STATIC
112,1,Obstacle,0.73,0.007,inf,STATIC
113,1,Obstacle,0.73,0.007,inf,STATIC
114,1,Obstacle,0.73,0.007,inf,STATIC
115,1,Obstacle,0.73,0.006,inf,DYNAMIC
116,1,Obstacle,0.73,0.006,inf,DYNAMIC
117,1,Obstacle,0.73,0.006,inf,DYNAMIC
118,1,Obstacle,0.73,0.006,inf,DYNAMIC
119,1,Obstacle,0.729,0.006,inf,DYNAMIC
120,1,Obstacle,0.728,0.006,inf,DYNAMIC
121,1,Obstacle,0.727,0.006,inf,STATIC
122,1,Obstacle,0.727,0.006,inf,STATIC
123,1,Obstacle,0.726,0.006,inf,STATIC
124,1,Obstacle,0.726,0.006,inf,STATIC
125,1,Obstacle,0.726,0.006,inf,DYNAMIC
126,1,Obstacle,0.725,0.006,inf,DYNAMIC
127,1,Obstacle,0.724,0.007,inf,DYNAMIC
128,1,Obstacle,0.723,0.007,inf,DYNAMIC
129,1,Obstacle,0.722,0.007,inf,DYNAMIC
130,1,Obstacle,0.722,0.007,inf,STATIC
131,1,Obstacle,0.721,0.008,inf,STATIC
132,1,Obstacle,0.72,0.008,inf,STATIC
133,1,Obstacle,0.719,0.008,inf,STATIC
134,1,Obstacle,0.717,0.009,inf,STATIC
135,1,Obstacle,0.716,0.009,inf,STATIC
136,1,Obstacle,0.716,0.009,inf,STATIC
137,1,Obstacle,0.716,0.009,inf,STATIC
138,1,Obstacle,0.716,0.009,inf,STATIC
139,1,Obstacle,0.716,0.009,inf,STATIC
140,1,Obstacle,0.716,0.009,inf,STATIC
141,1,Obstacle,0.715,0.009,inf,STATIC
142,1,Obstacle,0.714,0.009,inf,STATIC
143,1,Obstacle,0.713,0.009,inf,STATIC
144,1,Obstacle,0.712,0.009,inf,STATIC
145,1,Obstacle,0.711,0.009,inf,STATIC
146,1,Obstacle,0.709,0.01,inf,STATIC
147,1,Obstacle,0.709,0.01,inf,STATIC
148,1,Obstacle,0.71,0.01,inf,STATIC
149,1,Obstacle,0.71,0.009,inf,STATIC
150,1,Obstacle,0.711,0.009,inf,STATIC
151,1,Obstacle,0.71,0.008,inf,DYNAMIC
152,1,Obstacle,0.709,0.008,inf,DYNAMIC
153,1,Obstacle,0.709,0.008,inf,DYNAMIC
154,1,Obstacle,0.707,0.008,inf,DYNAMIC
155,1,Obstacle,0.706,0.009,inf,DYNAMIC
156,1,Obstacle,0.705,0.009,inf,STATIC
157,1,Obstacle,0.704,0.009,inf,STATIC
158,1,Obstacle,0.703,0.009,inf,STATIC
159,1,Obstacle,0.703,0.01,inf,STATIC
160,1,Obstacle,0.703,0.01,inf,STATIC
161,1,Obstacle,0.703,0.009,inf,STATIC
162,1,Obstacle,0.702,0.009,inf,STATIC
163,1,Obstacle,0.702,0.009,inf,STATIC
164,1,Obstacle,0.702,0.009,inf,STATIC
165,1,Obstacle,0.703,0.008,inf,STATIC
166,1,Obstacle,0.704,0.007,inf,STATIC
167,1,Obstacle,0.705,0.006,inf,STATIC
168,1,Obstacle,0.706,0.006,inf,STATIC
