frame_id,timestamp,fps,total_detections,global_action
1,1774685223.4680743,44.98,0,GO
2,1774685223.5555909,0.75,0,GO
3,1774685223.6165922,17.39,0,GO
4,1774685223.6761115,15.15,0,GO
5,1774685223.7401109,15.74,0,GO
6,1774685223.8046157,16.0,0,GO
7,1774685223.8701413,15.63,0,GO
8,1774685223.930138,15.99,0,GO
9,1774685223.994647,15.62,0,GO
10,1774685224.0561702,15.74,0,GO
11,1774685224.121172,15.74,0,GO
12,1774685224.1806848,16.13,0,GO
13,1774685224.2396877,15.74,0,GO
14,1774685224.303194,15.75,0,GO
15,1774685224.3729286,15.34,0,GO
16,1774685224.4339206,15.5,0,GO
17,1774685224.502428,16.26,0,GO
18,1774685224.5599415,15.87,0,GO
19,1774685224.6219418,16.0,0,GO
20,1774685224.685451,15.38,0,GO
21,1774685224.7579584,15.27,0,GO
22,1774685224.8129582,16.53,0,GO
23,1774685224.8794715,15.15,0,GO
24,1774685224.940474,16.53,0,GO
25,1774685225.0079782,15.27,0,GO
26,1774685225.0714948,16.13,0,GO
27,1774685225.1314929,15.26,0,GO
28,1774685225.1949992,15.5,0,GO
29,1774685225.2585092,15.87,0,GO
30,1774685225.3205087,16.26,0,GO
31,1774685225.3860228,15.15,0,GO
32,1774685225.452027,15.74,0,GO
33,1774685225.5135314,16.0,0,GO
34,1774685225.577024,15.87,0,GO
35,1774685225.6460266,15.75,0,GO
36,1774685225.706531,15.75,0,GO
37,1774685225.7640443,16.39,0,GO
38,1774685225.8280442,15.5,0,GO
39,1774685225.8925686,16.12,0,GO
40,1774685225.9630754,16.26,0,GO
41,1774685226.0370755,12.42,1,STOP
42,1774685226.106582,15.75,1,STOP
43,1774685226.1810918,12.5,1,STOP
44,1774685226.2480972,14.18,1,STOP
45,1774685226.320602,13.98,1,STOP
46,1774685226.383113,15.62,1,STOP
47,1774685226.4471226,16.0,1,STOP
48,1774685226.5126493,15.99,1,STOP
49,1774685226.5781622,15.62,1,STOP
50,1774685226.6401644,15.74,1,STOP
51,1774685226.7056987,15.26,1,STOP
52,1774685226.7672117,16.39,1,STOP
53,1774685226.8232107,16.25,1,STOP
54,1774685226.8917236,15.15,1,STOP
55,1774685226.951725,16.53,1,STOP
56,1774685227.0162292,15.26,1,STOP
57,1774685227.079751,15.63,1,STOP
58,1774685227.1487556,15.26,1,STOP
59,1774685227.2092595,16.0,1,STOP
60,1774685227.273779,15.63,1,STOP
61,1774685227.3375776,15.79,1,STOP
62,1774685227.4040928,16.0,1,STOP
63,1774685227.4666026,15.15,1,STOP
64,1774685227.5306013,16.26,1,STOP
65,1774685227.5858219,16.64,1,STOP
66,1774685227.649828,16.36,1,STOP
67,1774685227.7173293,15.04,1,STOP
68,1774685227.7768412,16.13,1,STOP
69,1774685227.8398428,15.74,1,STOP
70,1774685227.9023538,15.27,1,STOP
71,1774685227.9688656,15.63,1,STOP
72,1774685228.0298657,16.0,1,STOP
73,1774685228.0913775,16.13,1,STOP
74,1774685228.1625633,15.58,1,STOP
75,1774685228.2215633,15.04,1,STOP
76,1774685228.2890766,16.13,1,STOP
77,1774685228.3480828,15.75,1,STOP
78,1774685228.4142785,16.0,1,STOP
79,1774685228.4797883,15.7,1,STOP
80,1774685228.5377884,15.75,1,STOP
81,1774685228.6052947,15.04,1,STOP
82,1774685228.6668057,16.39,1,STOP
83,1774685228.7328074,15.74,1,STOP
84,1774685228.7943294,15.62,1,STOP
85,1774685228.8558369,16.0,1,STOP
86,1774685228.9228394,15.75,1,STOP
87,1774685228.982349,16.13,1,STOP
88,1774685229.0463512,15.5,1,STOP
89,1774685229.1088557,15.75,1,STOP
90,1774685229.176369,15.62,1,STOP
91,1774685229.238372,15.74,1,STOP
92,1774685229.2999008,16.52,1,STOP
93,1774685229.365425,15.38,1,STOP
94,1774685229.4274254,16.25,1,STOP
95,1774685229.4899395,15.62,1,STOP
96,1774685229.5509481,15.74,1,STOP
97,1774685229.6204727,15.26,1,STOP
98,1774685229.6840136,15.87,1,STOP
99,1774685229.7440202,15.74,1,STOP
100,1774685229.8086946,15.95,1,STOP
101,1774685229.873233,15.87,1,STOP
102,1774685229.9322333,15.49,1,STOP
103,1774685229.996743,16.39,1,STOP
104,1774685230.0642529,15.5,1,STOP
105,1774685230.121253,15.74,1,STOP
106,1774685230.1887608,15.62,1,STOP
107,1774685230.24777,16.53,1,STOP
108,1774685230.3152707,14.81,1,STOP
109,1774685230.3768036,16.13,1,STOP
110,1774685230.4377956,16.25,1,STOP
111,1774685230.5013254,15.74,1,STOP
112,1774685230.5648355,15.63,1,STOP
113,1774685230.6308355,15.74,1,STOP
114,1774685230.6943433,15.62,1,STOP
115,1774685230.7578554,15.75,1,STOP
116,1774685230.8198528,15.75,1,STOP
117,1774685230.884364,15.87,1,STOP
118,1774685230.9463725,16.26,1,STOP
119,1774685231.0078762,15.75,1,STOP
120,1774685231.0723917,15.87,1,STOP
121,1774685231.1372974,15.26,1,STOP
122,1774685231.2008138,15.52,1,STOP
123,1774685231.2633338,15.87,1,STOP
124,1774685231.3263242,16.0,1,STOP
125,1774685231.3948333,15.62,1,STOP
126,1774685231.451842,16.26,1,STOP
127,1774685231.5213714,15.74,1,STOP
128,1774685231.5808804,15.15,1,STOP
129,1774685231.6508844,15.75,1,STOP
130,1774685231.7093909,15.75,1,STOP
131,1774685231.7739034,15.62,1,STOP
132,1774685231.8359046,16.0,1,STOP
133,1774685231.899416,15.74,1,STOP
134,1774685231.962933,15.63,1,STOP
135,1774685232.0259328,15.74,1,STOP
136,1774685232.0884464,15.87,1,STOP
137,1774685232.1559558,15.62,1,STOP
138,1774685232.2184598,16.26,1,STOP
139,1774685232.2819748,16.39,1,STOP
140,1774685232.3479774,15.26,1,STOP
141,1774685232.4114819,15.27,1,STOP
142,1774685232.4720018,16.13,1,STOP
143,1774685232.5349941,15.74,1,STOP
144,1774685232.5995104,15.87,1,STOP
145,1774685232.6650212,16.0,1,STOP
146,1774685232.7310202,15.99,1,STOP
147,1774685232.8085275,12.27,1,STOP
148,1774685232.888038,12.82,1,STOP
149,1774685232.9625537,12.58,1,STOP
150,1774685233.0275526,15.74,1,STOP
151,1774685233.0910678,16.39,1,STOP
152,1774685233.1539433,15.5,1,STOP
153,1774685233.2174487,15.29,1,STOP
154,1774685233.2847736,16.13,1,STOP
155,1774685233.3660257,12.45,1,STOP
156,1774685233.4420269,12.94,1,STOP
157,1774685233.5175605,12.57,1,STOP
158,1774685233.5780725,16.13,1,STOP
159,1774685233.6390724,15.74,1,STOP
160,1774685233.703581,15.75,1,STOP
161,1774685233.7680898,15.87,1,STOP
162,1774685233.83209,15.75,1,STOP
163,1774685233.8923218,15.69,1,STOP
164,1774685233.9578319,15.74,1,STOP
165,1774685234.0228353,15.75,1,STOP
166,1774685234.0853624,15.62,1,STOP
167,1774685234.1433609,16.52,1,STOP
168,1774685234.2154539,14.69,1,OVERTAKE
169,1774685234.2709765,16.39,1,OVERTAKE
170,1774685234.338976,15.74,1,OVERTAKE
171,1774685234.4045143,15.03,1,OVERTAKE
172,1774685234.4670267,16.13,1,OVERTAKE
173,1774685234.5300267,15.74,1,OVERTAKE
174,1774685234.5925393,15.87,1,OVERTAKE
175,1774685234.6555436,15.75,1,OVERTAKE
176,1774685234.7180517,16.26,1,OVERTAKE
177,1774685234.7835703,15.15,1,OVERTAKE
178,1774685234.8465729,15.74,1,OVERTAKE
179,1774685234.9140775,15.27,1,OVERTAKE
180,1774685234.9735959,16.13,1,OVERTAKE
181,1774685235.036758,15.7,1,OVERTAKE
182,1774685235.098265,16.0,1,OVERTAKE
183,1774685235.166791,15.63,1,OVERTAKE
184,1774685235.2305634,15.74,1,OVERTAKE
185,1774685235.2950854,15.68,1,OVERTAKE
186,1774685235.3560894,15.99,1,OVERTAKE
187,1774685235.416594,15.75,1,OVERTAKE
188,1774685235.4801078,16.13,1,OVERTAKE
189,1774685235.5431077,15.74,1,OVERTAKE
190,1774685235.608424,15.31,1,OVERTAKE
191,1774685235.6739357,15.63,1,OVERTAKE
192,1774685235.7329357,16.26,1,OVERTAKE
193,1774685235.79747,15.62,1,OVERTAKE
194,1774685235.862994,15.74,1,OVERTAKE
195,1774685235.9249926,15.74,1,OVERTAKE
196,1774685235.9895232,15.62,1,OVERTAKE
197,1774685236.0585585,15.38,1,OVERTAKE
