frame_id,track_id,class,dist_m,speed_ms,ttc_s,state
41,1,Obstacle,0.462,0.0,inf,STATIC
42,1,Obstacle,0.46,0.0,inf,DYNAMIC
43,1,Obstacle,0.46,0.0,inf,DYNAMIC
44,1,Obstacle,0.459,0.0,inf,DYNAMIC
45,1,Obstacle,0.459,0.001,inf,DYNAMIC
46,1,Obstacle,0.458,0.002,inf,DYNAMIC
47,1,Obstacle,0.457,0.003,inf,DYNAMIC
48,1,Obstacle,0.456,0.003,inf,DYNAMIC
49,1,Obstacle,0.456,0.004,inf,DYNAMIC
50,1,Obstacle,0.455,0.005,inf,DYNAMIC
51,1,Obstacle,0.455,0.005,inf,DYNAMIC
52,1,Obstacle,0.454,0.006,inf,DYNAMIC
53,1,Obstacle,0.454,0.006,inf,DYNAMIC
54,1,Obstacle,0.453,0.006,inf,DYNAMIC
55,1,Obstacle,0.453,0.006,inf,DYNAMIC
56,1,Obstacle,0.452,0.007,inf,DYNAMIC
57,1,Obstacle,0.452,0.007,inf,DYNAMIC
58,1,Obstacle,0.45,0.007,inf,DYNAMIC
59,1,Obstacle,0.449,0.008,inf,DYNAMIC
60,1,Obstacle,0.447,0.009,inf,DYNAMIC
61,1,Obstacle,0.446,0.009,inf,DYNAMIC
62,1,Obstacle,0.445,0.01,inf,DYNAMIC
63,1,Obstacle,0.445,0.01,44.41,DYNAMIC
64,1,Obstacle,0.444,0.01,43.65,DYNAMIC
65,1,Obstacle,0.444,0.01,43.53,DYNAMIC
66,1,Obstacle,0.443,0.01,43.36,DYNAMIC
67,1,Obstacle,0.443,0.01,43.15,DYNAMIC
68,1,Obstacle,0.442,0.01,42.63,DYNAMIC
69,1,Obstacle,0.441,0.01,42.04,DYNAMIC
70,1,Obstacle,0.44,0.011,41.62,DYNAMIC
71,1,Obstacle,0.44,0.011,41.53,DYNAMIC
72,1,Obstacle,0.439,0.011,41.34,DYNAMIC
73,1,Obstacle,0.438,0.011,41.13,DYNAMIC
74,1,Obstacle,0.437,0.011,41.02,DYNAMIC
75,1,Obstacle,0.437,0.011,40.69,DYNAMIC
76,1,Obstacle,0.435,0.011,39.45,DYNAMIC
77,1,Obstacle,0.433,0.012,37.46,DYNAMIC
78,1,Obstacle,0.431,0.012,35.4,DYNAMIC
79,1,Obstacle,0.429,0.013,33.41,DYNAMIC
80,1,Obstacle,0.427,0.014,31.29,DYNAMIC
81,1,Obstacle,0.425,0.015,29.17,DYNAMIC
82,1,Obstacle,0.423,0.015,27.4,DYNAMIC
83,1,Obstacle,0.421,0.016,26.0,DYNAMIC
84,1,Obstacle,0.42,0.017,24.91,DYNAMIC
85,1,Obstacle,0.418,0.017,24.13,DYNAMIC
86,1,Obstacle,0.417,0.018,23.63,DYNAMIC
87,1,Obstacle,0.416,0.018,23.2,DYNAMIC
88,1,Obstacle,0.414,0.018,22.62,DYNAMIC
89,1,Obstacle,0.412,0.019,21.92,DYNAMIC
90,1,Obstacle,0.409,0.019,21.02,DYNAMIC
91,1,Obstacle,0.407,0.02,20.06,DYNAMIC
92,1,Obstacle,0.404,0.021,19.22,DYNAMIC
93,1,Obstacle,0.403,0.022,18.58,DYNAMIC
94,1,Obstacle,0.401,0.022,18.06,DYNAMIC
95,1,Obstacle,0.399,0.023,17.62,DYNAMIC
96,1,Obstacle,0.397,0.023,17.13,DYNAMIC
97,1,Obstacle,0.394,0.024,16.6,DYNAMIC
98,1,Obstacle,0.392,0.024,16.11,DYNAMIC
99,1,Obstacle,0.39,0.025,15.7,DYNAMIC
100,1,Obstacle,0.388,0.025,15.39,DYNAMIC
101,1,Obstacle,0.386,0.026,15.08,DYNAMIC
102,1,Obstacle,0.384,0.026,14.81,DYNAMIC
103,1,Obstacle,0.382,0.026,14.52,DYNAMIC
104,1,Obstacle,0.38,0.027,14.22,DYNAMIC
105,1,Obstacle,0.377,0.027,13.8,DYNAMIC
106,1,Obstacle,0.373,0.028,13.31,DYNAMIC
107,1,Obstacle,0.37,0.029,12.83,DYNAMIC
108,1,Obstacle,0.368,0.03,12.43,DYNAMIC
109,1,Obstacle,0.366,0.03,12.16,DYNAMIC
110,1,Obstacle,0.364,0.03,12.02,DYNAMIC
111,1,Obstacle,0.363,0.03,12.01,DYNAMIC
112,1,Obstacle,0.362,0.03,12.01,DYNAMIC
113,1,Obstacle,0.36,0.03,11.97,DYNAMIC
114,1,Obstacle,0.358,0.03,11.89,DYNAMIC
115,1,Obstacle,0.355,0.03,11.78,DYNAMIC
116,1,Obstacle,0.353,0.03,11.65,DYNAMIC
117,1,Obstacle,0.351,0.03,11.53,DYNAMIC
118,1,Obstacle,0.349,0.03,11.47,DYNAMIC
119,1,Obstacle,0.348,0.03,11.46,DYNAMIC
120,1,Obstacle,0.347,0.03,11.51,DYNAMIC
121,1,Obstacle,0.346,0.03,11.62,DYNAMIC
122,1,Obstacle,0.345,0.029,11.79,DYNAMIC
123,1,Obstacle,0.344,0.029,11.94,DYNAMIC
124,1,Obstacle,0.342,0.028,12.1,DYNAMIC
125,1,Obstacle,0.341,0.028,12.28,DYNAMIC
126,1,Obstacle,0.34,0.027,12.5,DYNAMIC
127,1,Obstacle,0.34,0.027,12.77,DYNAMIC
128,1,Obstacle,0.339,0.026,13.11,DYNAMIC
129,1,Obstacle,0.339,0.025,13.54,DYNAMIC
130,1,Obstacle,0.339,0.024,14.03,STATIC
131,1,Obstacle,0.338,0.023,14.58,STATIC
132,1,Obstacle,0.338,0.022,15.17,STATIC
133,1,Obstacle,0.338,0.021,15.83,STATIC
134,1,Obstacle,0.338,0.02,16.53,STATIC
135,1,Obstacle,0.338,0.02,17.27,STATIC
136,1,Obstacle,0.338,0.019,18.07,DYNAMIC
137,1,Obstacle,0.337,0.018,18.9,DYNAMIC
138,1,Obstacle,0.337,0.017,19.77,DYNAMIC
139,1,Obstacle,0.337,0.016,20.66,DYNAMIC
140,1,Obstacle,0.337,0.016,21.59,DYNAMIC
141,1,Obstacle,0.337,0.015,22.58,DYNAMIC
142,1,Obstacle,0.337,0.014,23.64,STATIC
143,1,Obstacle,0.337,0.014,24.76,STATIC
144,1,Obstacle,0.336,0.013,25.82,STATIC
145,1,Obstacle,0.336,0.013,26.84,STATIC
146,1,Obstacle,0.336,0.012,27.86,STATIC
147,1,Obstacle,0.335,0.012,28.93,STATIC
148,1,Obstacle,0.335,0.011,30.17,STATIC
149,1,Obstacle,0.335,0.011,31.62,STATIC
150,1,Obstacle,0.335,0.01,33.22,STATIC
151,1,Obstacle,0.335,0.01,inf,STATIC
152,1,Obstacle,0.335,0.009,inf,STATIC
153,1,Obstacle,0.335,0.009,inf,STATIC
154,1,Obstacle,0.335,0.008,inf,STATIC
155,1,Obstacle,0.335,0.008,inf,STATIC
156,1,Obstacle,0.336,0.007,inf,STATIC
157,1,Obstacle,0.335,0.007,inf,STATIC
158,1,Obstacle,0.335,0.006,inf,STATIC
159,1,Obstacle,0.335,0.006,inf,STATIC
160,1,Obstacle,0.335,0.006,inf,STATIC
161,1,Obstacle,0.335,0.005,inf,STATIC
162,1,Obstacle,0.335,0.005,inf,STATIC
163,1,Obstacle,0.335,0.005,inf,STATIC
164,1,Obstacle,0.335,0.005,inf,STATIC
165,1,Obstacle,0.335,0.004,inf,STATIC
166,1,Obstacle,0.335,0.004,inf,STATIC
167,1,Obstacle,0.335,0.004,inf,STATIC
168,1,Obstacle,0.335,0.004,inf,STATIC
169,1,Obstacle,0.335,0.003,inf,STATIC
170,1,Obstacle,0.335,0.003,inf,STATIC
171,1,Obstacle,0.335,0.003,inf,STATIC
172,1,Obstacle,0.335,0.003,inf,STATIC
173,1,Obstacle,0.335,0.003,inf,STATIC
174,1,Obstacle,0.335,0.003,inf,STATIC
175,1,Obstacle,0.335,0.002,inf,STATIC
176,1,Obstacle,0.335,0.002,inf,STATIC
177,1,Obstacle,0.335,0.002,inf,STATIC
178,1,Obstacle,0.335,0.002,inf,STATIC
179,1,Obstacle,0.335,0.002,inf,STATIC
180,1,Obstacle,0.335,0.002,inf,STATIC
181,1,Obstacle,0.335,0.002,inf,STATIC
182,1,Obstacle,0.335,0.002,inf,STATIC
183,1,Obstacle,0.335,0.001,inf,STATIC
184,1,Obstacle,0.335,0.001,inf,STATIC
185,1,Obstacle,0.336,0.001,inf,STATIC
186,1,Obstacle,0.336,0.001,inf,STATIC
187,1,Obstacle,0.336,0.001,inf,STATIC
188,1,Obstacle,0.336,0.001,inf,STATIC
189,1,Obstacle,0.336,0.001,inf,STATIC
190,1,Obstacle,0.336,0.001,inf,STATIC
191,1,Obstacle,0.336,0.001,inf,STATIC
192,1,Obstacle,0.336,0.001,inf,STATIC
193,1,Obstacle,0.336,0.001,inf,STATIC
194,1,Obstacle,0.336,0.001,inf,STATIC
195,1,Obstacle,0.336,0.001,inf,STATIC
196,1,Obstacle,0.335,0.001,inf,STATIC
197,1,Obstacle,0.335,0.001,inf,STATIC
