frame_id,track_id,filter_mode,final_calculated_distance
1,1,1,1.137498
1,2,1,2.170237
2,1,1,1.137498
2,2,1,2.170237
3,1,1,1.137502
3,2,1,2.170549
4,1,1,1.137498
4,2,1,2.170549
5,1,1,1.137498
5,2,1,2.170237
6,1,1,1.137498
6,2,1,2.170237
7,1,1,1.137498
7,2,1,2.170237
8,1,1,1.137502
8,2,1,2.170549
9,1,1,1.137502
9,2,1,2.170549
10,1,1,1.137498
10,2,1,2.170237
11,1,1,1.137498
11,2,1,2.170237
12,1,1,1.137498
12,2,1,2.170237
13,1,1,1.137498
13,2,1,2.170237
14,1,1,1.137498
14,2,1,2.131541
15,1,1,1.137498
15,2,1,2.170237
16,1,1,1.137502
16,2,1,2.131541
17,1,1,1.137498
17,2,1,2.170549
18,1,1,1.137502
18,2,1,2.131541
19,1,1,1.137502
19,2,1,2.170237
20,1,1,1.137502
20,2,1,2.170549
21,1,1,1.137502
21,2,1,2.170237
22,1,1,1.137498
22,2,1,2.170237
23,1,1,1.137498
23,2,1,2.170549
24,1,1,1.137502
24,2,1,2.131541
25,1,1,1.137502
25,2,1,2.131541
26,1,1,1.137502
26,2,1,2.170549
27,1,1,1.137498
27,2,1,2.170549
28,1,1,1.137498
28,2,1,2.170549
29,1,1,1.137498
29,2,1,2.170237
30,1,1,1.137498
30,2,1,2.170237
31,1,1,1.137498
31,2,1,2.170549
32,1,1,1.137498
32,2,1,2.170237
33,1,1,1.137498
33,2,1,2.170237
34,1,1,1.137502
34,2,1,2.170237
35,1,1,1.137502
35,2,1,2.170549
36,1,1,1.137502
36,2,1,2.131247
37,1,1,1.137502
37,2,1,2.170237
38,1,1,1.137498
38,2,1,2.170237
39,1,1,1.137502
39,2,1,2.170237
40,1,1,1.137498
40,2,1,2.170237
41,1,1,1.137498
41,2,1,2.170237
42,1,1,1.137502
42,2,1,2.170237
43,1,1,1.137502
43,2,1,2.170237
44,1,1,1.137502
44,2,1,2.170237
45,1,1,1.137502
45,2,1,2.131541
46,1,1,1.137498
46,2,1,2.170549
47,1,1,1.137498
47,2,1,2.131247
48,1,1,1.137502
48,2,1,2.170237
49,1,1,1.137502
49,2,1,2.170237
50,1,1,1.137498
50,2,1,2.170549
51,1,1,1.137498
51,2,1,2.170237
52,1,1,1.137498
52,2,1,2.170237
53,1,1,1.137498
53,2,1,2.170237
54,1,1,1.126412
54,2,1,2.170549
55,1,1,1.137498
55,2,1,2.170549
56,1,1,1.137502
56,2,1,2.170237
57,1,1,1.137502
57,2,1,2.170549
58,1,1,1.137498
58,2,1,2.170237
59,1,1,1.137498
59,2,1,2.170237
60,1,1,1.137502
60,2,1,2.170237
61,1,1,1.137498
61,2,1,2.170237
62,1,1,1.137498
62,2,1,2.170237
63,1,1,1.137498
63,2,1,2.170237
64,1,1,1.137498
64,2,1,2.170549
65,1,1,1.137498
65,2,1,2.170237
66,1,1,1.137498
66,2,1,2.170237
67,1,1,1.137498
67,2,1,2.131541
68,1,1,1.137498
68,2,1,2.170549
69,1,1,1.137502
69,2,1,2.170549
70,1,1,1.137498
70,2,1,2.170549
71,1,1,1.137498
71,2,1,2.170237
72,1,1,1.137498
72,2,1,2.170237
73,1,1,1.137498
73,2,1,2.131541
74,1,1,1.137498
74,2,1,2.131541
75,1,1,1.137498
75,2,1,2.170549
76,1,1,1.137498
76,2,1,2.131541
77,1,1,1.137502
77,2,1,2.170549
78,1,1,1.137502
78,2,1,2.170237
79,1,1,1.137498
79,2,1,2.170237
80,1,1,1.137498
80,2,1,2.170237
81,1,1,1.137498
81,2,1,2.170237
82,1,1,1.137498
82,2,1,2.170237
83,1,1,1.137498
83,2,1,2.131247
84,1,1,1.137498
84,2,1,2.131541
85,1,1,1.137498
85,2,1,2.170237
86,1,1,1.137502
86,2,1,2.170237
87,1,1,1.137502
87,2,1,2.170237
88,1,1,1.137502
88,2,1,2.170237
89,1,1,1.137502
89,2,1,2.170237
90,1,1,1.137498
90,2,1,2.170549
91,1,1,1.137498
91,2,1,2.170237
92,1,1,1.137502
92,2,1,2.170549
93,1,1,1.137498
93,2,1,2.170549
94,1,1,1.137498
94,2,1,2.170549
95,1,1,1.137498
95,2,1,2.170237
96,1,1,1.137502
96,2,1,2.170237
97,1,1,1.137502
97,2,1,2.170237
98,1,1,1.137502
98,2,1,2.170237
99,1,1,1.137502
99,2,1,2.170237
100,1,1,1.137502
100,2,1,2.170237
101,1,1,1.137502
101,2,1,2.170237
102,1,1,1.126415
102,2,1,2.170549
103,1,1,1.137498
103,2,1,2.170549
104,1,1,1.137502
104,2,1,2.131541
105,1,1,1.137502
105,2,1,2.131541
106,1,1,1.137502
106,2,1,2.170549
107,1,1,1.137498
107,2,1,2.170549
108,1,1,1.137502
108,2,1,2.170237
109,1,1,1.137498
109,2,1,2.170237
110,1,1,1.137502
110,2,1,2.170237
111,1,1,1.137498
111,2,1,2.170549
112,1,1,1.137498
112,2,1,2.170237
113,1,1,1.137498
113,2,1,2.170549
114,1,1,1.137502
114,2,1,2.170237
115,1,1,1.137502
115,2,1,2.170549
116,1,1,1.137502
116,2,1,2.170237
117,1,1,1.137502
117,2,1,2.131541
118,1,1,1.137502
118,2,1,2.170549
119,1,1,1.137502
119,2,1,2.170549
120,1,1,1.137502
120,2,1,2.170549
121,1,1,1.137502
121,2,1,2.170237
122,1,1,1.137502
122,2,1,2.170237
123,1,1,1.137502
123,2,1,2.170237
124,1,1,1.137498
124,2,1,2.170549
125,1,1,1.137502
125,2,1,2.170549
126,1,1,1.137502
126,2,1,2.170549
127,1,1,1.137498
127,2,1,2.170549
128,1,1,1.137498
128,2,1,2.170549
129,1,1,1.137498
129,2,1,2.170237
130,1,1,1.137498
130,2,1,2.170237
131,1,1,1.137502
131,2,1,2.170549
132,1,1,1.137502
132,2,1,2.170237
133,1,1,1.137498
133,2,1,2.170549
134,1,1,1.137498
134,2,1,2.170867
135,1,1,1.137498
135,2,1,2.170549
136,1,1,1.137498
136,2,1,2.170549
137,1,1,1.137502
137,2,1,2.170549
138,1,1,1.137498
138,2,1,2.131541
139,1,1,1.137502
139,2,1,2.170549
140,1,1,1.137502
140,2,1,2.170549
141,1,1,1.137502
141,2,1,2.170237
142,1,1,1.137502
142,2,1,2.170549
143,1,1,1.137498
143,2,1,2.170237
144,1,1,1.137502
144,2,1,2.170237
145,1,1,1.137498
145,2,1,2.131541
146,1,1,1.104851
146,2,1,2.093897
147,1,1,1.054261
147,2,1,1.893015
148,1,1,1.137498
148,2,1,1.988459
149,1,1,1.126415
149,2,1,2.057545
150,1,1,1.064016
150,2,1,1.587199
151,1,1,1.084065
151,2,1,1.778984
152,1,1,1.104854
152,2,1,1.955607
153,1,1,1.104854
153,2,1,2.05728
154,1,1,1.094365
154,2,1,2.022419
155,1,1,1.094365
155,2,1,2.093897
156,1,1,1.094365
156,2,1,2.093897
157,1,1,1.084065
157,2,1,2.057545
158,1,1,1.084064
158,2,1,2.093897
159,1,1,1.073945
159,2,1,1.834256
160,1,1,1.054241
160,2,1,1.893221
161,1,1,1.025939
161,2,1,1.924026
162,1,1,1.016819
162,2,1,1.893015
163,1,1,1.007857
163,2,1,1.893015
164,1,1,0.999044
164,2,1,1.924026
165,1,1,0.981851
165,2,1,1.924247
166,1,1,0.981851
166,2,1,1.779318
167,1,1,0.98184
167,2,1,1.89343
168,1,1,0.973463
168,2,1,1.893643
169,1,1,0.973463
169,2,1,1.924701
170,1,1,0.957087
170,2,1,1.89386
171,1,1,0.941224
171,2,1,1.89386
172,1,1,0.933477
172,2,1,1.863774
173,1,1,0.925849
173,2,1,1.863774
174,1,1,0.918338
174,2,1,1.807109
175,1,1,0.91094
175,2,1,1.835013
176,1,1,0.896476
176,2,1,1.807109
177,1,1,0.889404
177,2,1,1.8073
178,1,1,0.882419
178,2,1,1.8073
179,1,1,0.875552
179,2,1,1.807494
180,1,1,0.868784
180,2,1,1.807692
181,1,1,0.862113
181,2,1,1.807692
182,1,1,0.862113
182,2,1,1.753894
183,1,1,0.862113
183,2,1,1.780583
184,1,1,0.855517
184,2,1,1.807692
185,1,1,0.855497
185,2,1,1.835826
186,1,1,0.848992
186,2,1,1.807892
187,1,1,0.823943
187,2,1,1.728331
188,1,1,0.811926
188,2,1,1.70332
189,1,1,0.800229
189,2,1,1.703484
190,1,1,0.794472
190,2,1,1.679166
191,1,1,0.788814
191,2,1,1.65567
192,1,1,0.78323
192,2,1,1.679324
193,1,1,0.777794
193,2,1,1.655821
194,1,1,0.772328
194,2,1,1.655821
195,1,1,0.766931
195,2,1,1.632804
196,1,1,0.761628
196,2,1,1.632804
197,1,1,0.756417
197,2,1,1.632804
198,1,1,0.751192
198,2,1,1.655821
199,1,1,0.751136
199,2,1,1.679324
