frame_id,timestamp,fps,total_detections,global_action
1,1776843618.701306,38.76,1,SLOW
2,1776843618.8073406,0.68,1,SLOW
3,1776843618.8942363,10.6,2,SLOW
4,1776843618.9692397,13.06,2,SLOW
5,1776843619.0508134,12.73,2,SLOW
6,1776843619.1313095,12.82,2,SLOW
7,1776843619.221846,10.69,2,SLOW
8,1776843619.2983522,12.58,2,SLOW
9,1776843619.3783777,12.9,2,SLOW
10,1776843619.4598854,12.73,2,SLOW
11,1776843619.5484245,10.69,2,SLOW
12,1776843619.6359859,12.5,2,SLOW
13,1776843619.7245297,10.69,2,SLOW
14,1776843619.7911158,12.73,2,SLOW
15,1776843619.878001,11.89,2,SLOW
16,1776843619.9516141,13.16,2,SLOW
17,1776843620.0321922,12.66,1,SLOW
18,1776843620.109763,12.89,2,SLOW
19,1776843620.2003,11.97,2,SLOW
20,1776843620.2747507,12.9,2,SLOW
21,1776843620.362285,12.34,2,SLOW
22,1776843620.4548476,10.47,2,SLOW
23,1776843620.5463986,10.69,2,SLOW
24,1776843620.6287124,12.34,2,SLOW
25,1776843620.7203436,10.7,2,SLOW
26,1776843620.796967,12.75,2,SLOW
27,1776843620.8788507,12.54,2,SLOW
28,1776843620.9562752,12.59,2,SLOW
29,1776843621.0345955,13.0,2,SLOW
30,1776843621.1221168,12.32,2,SLOW
31,1776843621.203069,10.97,2,SLOW
32,1776843621.2999876,12.59,1,SLOW
33,1776843621.3869975,10.43,2,SLOW
34,1776843621.4787996,10.54,2,SLOW
35,1776843621.5534062,12.27,2,SLOW
36,1776843621.6299188,12.99,2,SLOW
37,1776843621.7093258,12.58,3,SLOW
38,1776843621.7928464,12.44,2,SLOW
39,1776843621.8738728,12.74,2,SLOW
40,1776843621.9554863,12.12,2,SLOW
41,1776843622.0331535,12.96,2,SLOW
42,1776843622.1138458,12.71,2,SLOW
43,1776843622.1963377,12.54,3,SLOW
44,1776843622.290824,10.38,2,SLOW
45,1776843622.382919,10.58,2,SLOW
46,1776843622.4603336,13.24,2,SLOW
47,1776843622.5390408,12.18,2,SLOW
