frame_id,timestamp,fps,total_detections,global_action
1,1774685019.0108333,25.64,0,GO
2,1774685019.1947887,0.73,0,GO
3,1774685019.3707943,5.73,1,GO
4,1774685019.5442917,5.76,1,GO
5,1774685019.7369463,5.25,1,GO
6,1774685019.9086354,5.73,1,GO
7,1774685020.111238,5.14,1,GO
8,1774685020.2747598,5.8,1,GO
9,1774685020.465901,5.29,1,GO
10,1774685020.64011,5.71,1,GO
11,1774685020.8310947,5.25,1,GO
12,1774685020.9868073,6.34,1,GO
13,1774685021.1635892,5.72,1,GO
14,1774685021.3396432,5.71,1,GO
15,1774685021.511889,5.76,1,GO
16,1774685021.702604,5.26,1,GO
17,1774685021.8843036,5.74,1,GO
18,1774685022.0686038,5.26,1,GO
19,1774685022.2422457,5.8,1,GO
20,1774685022.4287314,5.32,1,GO
21,1774685022.6235363,5.26,1,GO
22,1774685022.8091283,5.32,1,GO
23,1774685022.9785836,5.74,1,GO
24,1774685023.1685865,5.24,1,GO
25,1774685023.3608828,5.3,1,GO
26,1774685023.5146208,6.39,1,GO
27,1774685023.6995463,5.25,1,GO
28,1774685023.7643414,9.41,1,GO
29,1774685023.8288522,15.15,1,GO
30,1774685023.8918667,16.26,1,GO
31,1774685023.954372,15.74,1,GO
32,1774685024.0148835,15.62,1,GO
33,1774685024.0818863,16.0,1,GO
34,1774685024.138391,16.0,1,GO
35,1774685024.201906,15.87,1,GO
36,1774685024.2669072,16.0,1,GO
37,1774685024.335414,15.15,1,GO
38,1774685024.3944194,15.75,1,GO
39,1774685024.458924,15.75,1,GO
40,1774685024.5299706,15.87,1,GO
41,1774685024.602495,12.49,1,GO
42,1774685024.6654952,15.5,1,GO
43,1774685024.7310193,16.39,1,GO
44,1774685024.7920241,15.5,1,GO
45,1774685024.8565288,16.0,1,GO
46,1774685024.9194038,15.81,1,GO
47,1774685024.9754038,17.36,1,GO
48,1774685025.0439339,14.81,1,GO
49,1774685025.1024451,16.39,1,GO
50,1774685025.1694453,15.75,1,GO
51,1774685025.2339816,15.62,1,GO
52,1774685025.294979,16.0,1,GO
53,1774685025.3594837,15.5,1,GO
54,1774685025.4220111,15.38,1,GO
55,1774685025.485014,15.75,1,GO
56,1774685025.5505476,16.25,1,GO
57,1774685025.6160822,15.38,1,GO
58,1774685025.6740823,15.99,1,GO
59,1774685025.7385886,15.75,1,GO
60,1774685025.80212,16.13,1,GO
61,1774685025.8651483,15.26,1,GO
62,1774685025.9297578,15.35,1,GO
63,1774685025.9917626,16.81,1,GO
64,1774685026.054275,15.5,1,GO
65,1774685026.1167815,15.87,1,GO
66,1774685026.1827848,15.5,1,GO
67,1774685026.2452886,15.5,1,GO
