frame_id,timestamp,fps,total_detections,global_action
1,1774684532.1890578,47.59,0,GO
2,1774684532.276574,0.74,0,GO
3,1774684532.3472693,15.72,1,SLOW
4,1774684532.4053566,15.7,1,SLOW
5,1774684532.4703035,15.62,1,SLOW
6,1774684532.532861,16.13,1,SLOW
7,1774684532.5948608,15.74,1,SLOW
8,1774684532.6603706,15.75,1,SLOW
9,1774684532.7198925,15.63,1,SLOW
10,1774684532.7848918,15.74,1,SLOW
11,1774684532.849401,15.62,1,SLOW
12,1774684532.9119115,16.0,1,SLOW
13,1774684532.9739113,15.75,1,SLOW
14,1774684533.040928,15.62,1,SLOW
15,1774684533.1069307,15.62,1,SLOW
16,1774684533.170436,15.75,1,SLOW
17,1774684533.2339554,15.63,1,SLOW
18,1774684533.2959545,15.74,1,SLOW
19,1774684533.3624644,15.75,1,SLOW
20,1774684533.4279802,14.71,1,SLOW
21,1774684533.4919806,15.74,1,SLOW
22,1774684533.5554917,15.62,1,SLOW
23,1774684533.613997,16.26,1,SLOW
24,1774684533.6779969,15.5,1,SLOW
25,1774684533.7426019,15.83,1,SLOW
26,1774684533.8141108,15.52,1,SLOW
27,1774684533.88199,12.9,1,SLOW
28,1774684533.9504993,15.41,1,SLOW
29,1774684534.1541486,5.39,1,SLOW
30,1774684534.2356496,10.24,1,SLOW
31,1774684534.2996528,15.75,1,SLOW
32,1774684534.3611574,16.53,1,SLOW
33,1774684534.4216924,15.87,1,SLOW
34,1774684534.4856877,15.26,1,SLOW
35,1774684534.548194,15.87,1,SLOW
36,1774684534.6137044,15.5,1,SLOW
37,1774684534.677707,16.0,1,SLOW
38,1774684534.7412233,15.62,1,SLOW
39,1774684534.8032236,16.0,1,SLOW
40,1774684534.8633354,15.6,1,SLOW
41,1774684534.9348035,15.63,1,SLOW
42,1774684535.0038104,12.91,1,SLOW
43,1774684535.0703475,15.49,1,SLOW
44,1774684535.139856,15.14,1,SLOW
45,1774684535.203879,15.76,1,SLOW
46,1774684535.261184,16.79,1,SLOW
47,1774684535.3257034,15.93,1,SLOW
48,1774684535.3877037,15.5,1,SLOW
49,1774684535.4522104,15.38,1,SLOW
50,1774684535.5187218,15.75,1,SLOW
51,1774684535.5757217,16.53,1,SLOW
52,1774684535.6459,15.15,1,SLOW
53,1774684535.7109065,15.83,1,SLOW
54,1774684535.767433,15.99,1,SLOW
55,1774684535.8369439,15.38,1,SLOW
56,1774684536.120395,3.69,1,SLOW
57,1774684536.1833935,13.58,1,SLOW
58,1774684536.2509089,15.62,1,SLOW
59,1774684536.3250504,12.74,1,SLOW
60,1774684536.38705,15.84,1,SLOW
61,1774684536.452564,15.87,1,SLOW
62,1774684536.5330896,12.9,1,SLOW
63,1774684536.6067538,12.42,1,SLOW
64,1774684536.672262,16.08,1,SLOW
65,1774684536.7487826,12.66,1,SLOW
66,1774684536.810792,16.0,1,SLOW
67,1774684536.8703325,15.74,1,SLOW
68,1774684536.936846,15.62,1,SLOW
69,1774684537.0028489,15.74,1,SLOW
70,1774684537.0643547,15.75,1,SLOW
71,1774684537.1268759,15.87,1,SLOW
72,1774684537.186876,15.99,1,SLOW
73,1774684537.2543933,15.62,1,SLOW
74,1774684537.3128915,16.26,1,SLOW
75,1774684537.382896,15.26,1,SLOW
76,1774684537.4444213,15.38,1,SLOW
77,1774684538.4250543,1.02,1,SLOW
78,1774684538.486056,15.5,1,SLOW
79,1774684538.5565612,15.15,1,SLOW
80,1774684538.6170838,15.75,1,SLOW
81,1774684538.679084,15.99,1,SLOW
82,1774684538.7395937,15.62,1,SLOW
83,1774684538.8036008,15.75,1,SLOW
84,1774684538.8661015,15.5,1,SLOW
85,1774684538.9296203,16.13,1,SLOW
86,1774684538.994621,15.74,1,SLOW
87,1774684539.0571287,15.5,1,SLOW
