frame_id,timestamp,fps,total_detections,global_action
1,1774685109.5362413,25.63,0,GO
2,1774685109.6287532,0.78,0,GO
3,1774685109.6857543,16.26,0,GO
4,1774685109.750271,15.87,0,GO
5,1774685109.8140826,16.18,0,GO
6,1774685109.8770816,15.74,0,GO
7,1774685109.9465945,15.62,0,GO
8,1774685110.0060625,15.88,1,STOP
9,1774685110.065567,16.0,1,STOP
10,1774685110.1290793,15.87,1,STOP
11,1774685110.1910877,16.25,1,STOP
12,1774685110.2516055,15.74,1,STOP
13,1774685110.3151188,15.63,1,STOP
14,1774685110.3791187,16.26,1,STOP
15,1774685110.4436278,15.62,1,STOP
16,1774685110.5026336,15.75,1,STOP
17,1774685110.568141,15.75,1,STOP
18,1774685110.629661,15.87,1,STOP
19,1774685110.6966636,15.75,1,STOP
20,1774685110.7581708,15.75,1,STOP
21,1774685110.8246844,15.38,1,STOP
22,1774685110.8856843,16.0,1,STOP
23,1774685110.9482043,15.87,1,STOP
24,1774685111.010714,15.5,1,STOP
25,1774685111.0747144,16.0,1,STOP
26,1774685111.1382308,15.63,1,STOP
27,1774685111.2002323,15.5,1,STOP
28,1774685111.267738,15.75,1,STOP
29,1774685111.3302505,15.87,1,STOP
30,1774685111.3912516,16.0,1,STOP
31,1774685111.4587603,15.75,1,STOP
32,1774685111.5212765,15.62,1,STOP
33,1774685111.5862765,16.0,1,STOP
34,1774685111.6457868,15.15,1,STOP
35,1774685111.712294,15.75,1,STOP
36,1774685111.7742944,15.5,1,STOP
37,1774685111.8388038,16.13,1,STOP
38,1774685111.9028091,15.5,1,STOP
39,1774685111.9643137,15.5,1,STOP
40,1774685112.0315225,16.39,1,OVERTAKE
41,1774685112.091519,15.57,1,OVERTAKE
42,1774685112.1590266,15.75,1,OVERTAKE
43,1774685112.218543,15.38,1,OVERTAKE
44,1774685112.2815464,16.26,1,OVERTAKE
45,1774685112.3440902,16.12,1,OVERTAKE
46,1774685112.4070969,15.5,1,OVERTAKE
47,1774685112.470602,16.0,1,OVERTAKE
48,1774685112.5377002,15.62,1,OVERTAKE
49,1774685112.6002543,16.29,1,OVERTAKE
50,1774685112.6627657,15.68,1,OVERTAKE
51,1774685112.7312703,14.7,1,OVERTAKE
52,1774685112.7882726,16.26,1,OVERTAKE
53,1774685112.8517904,16.0,1,OVERTAKE
54,1774685112.9153066,16.13,1,OVERTAKE
55,1774685112.9833052,15.5,1,OVERTAKE
56,1774685113.046817,15.63,1,OVERTAKE
57,1774685113.110334,15.26,1,OVERTAKE
58,1774685113.1703362,17.09,1,OVERTAKE
59,1774685113.2338474,15.15,1,OVERTAKE
60,1774685113.2928467,16.0,1,OVERTAKE
61,1774685113.3600276,15.83,1,OVERTAKE
62,1774685113.423541,15.39,1,OVERTAKE
63,1774685113.482544,16.52,1,OVERTAKE
64,1774685113.5510473,15.27,1,OVERTAKE
65,1774685113.6145623,16.13,1,OVERTAKE
66,1774685113.6755588,15.75,1,OVERTAKE
67,1774685113.7410827,15.62,1,OVERTAKE
68,1774685113.802086,15.75,1,OVERTAKE
69,1774685113.8695905,15.75,1,OVERTAKE
70,1774685113.9308543,15.62,1,OVERTAKE
71,1774685113.995857,15.56,1,OVERTAKE
72,1774685114.0553617,16.0,1,OVERTAKE
73,1774685114.1218762,15.62,1,OVERTAKE
74,1774685114.1848762,15.5,1,OVERTAKE
75,1774685114.2463894,16.13,1,OVERTAKE
76,1774685114.312897,15.5,1,OVERTAKE
77,1774685114.371897,16.53,1,OVERTAKE
78,1774685114.4364254,15.38,1,OVERTAKE
