frame_id,track_id,class,dist_m,speed_ms,ttc_s,state
8,2,Obstacle,0.445,0.0,inf,STATIC
9,2,Obstacle,0.445,0.0,inf,DYNAMIC
10,2,Obstacle,0.445,0.0,inf,DYNAMIC
11,2,Obstacle,0.445,-0.0,inf,DYNAMIC
12,2,Obstacle,0.446,-0.0,inf,DYNAMIC
13,2,Obstacle,0.446,-0.001,inf,STATIC
14,2,Obstacle,0.447,-0.001,inf,STATIC
15,2,Obstacle,0.447,-0.002,inf,STATIC
16,2,Obstacle,0.447,-0.002,inf,STATIC
17,2,Obstacle,0.447,-0.002,inf,STATIC
18,2,Obstacle,0.446,-0.001,inf,STATIC
19,2,Obstacle,0.446,-0.001,inf,STATIC
20,2,Obstacle,0.446,-0.001,inf,STATIC
21,2,Obstacle,0.446,-0.001,inf,STATIC
22,2,Obstacle,0.446,-0.0,inf,STATIC
23,2,Obstacle,0.446,-0.0,inf,STATIC
24,2,Obstacle,0.446,0.0,inf,STATIC
25,2,Obstacle,0.446,0.0,inf,STATIC
26,2,Obstacle,0.445,0.0,inf,STATIC
27,2,Obstacle,0.445,0.0,inf,STATIC
28,2,Obstacle,0.445,0.0,inf,STATIC
29,2,Obstacle,0.446,0.0,inf,STATIC
30,2,Obstacle,0.446,-0.0,inf,STATIC
31,2,Obstacle,0.447,-0.0,inf,STATIC
32,2,Obstacle,0.447,-0.0,inf,STATIC
33,2,Obstacle,0.446,-0.0,inf,STATIC
34,2,Obstacle,0.446,-0.0,inf,STATIC
35,2,Obstacle,0.446,-0.0,inf,STATIC
36,2,Obstacle,0.446,-0.0,inf,STATIC
37,2,Obstacle,0.446,-0.0,inf,STATIC
38,2,Obstacle,0.446,-0.0,inf,STATIC
39,2,Obstacle,0.446,0.0,inf,STATIC
40,2,Obstacle,0.446,0.0,inf,STATIC
41,2,Obstacle,0.446,0.0,inf,STATIC
42,2,Obstacle,0.446,0.0,inf,STATIC
43,2,Obstacle,0.446,-0.0,inf,STATIC
44,2,Obstacle,0.447,-0.0,inf,STATIC
45,2,Obstacle,0.447,-0.0,inf,STATIC
46,2,Obstacle,0.446,-0.0,inf,STATIC
47,2,Obstacle,0.446,-0.0,inf,STATIC
48,2,Obstacle,0.446,-0.0,inf,STATIC
49,2,Obstacle,0.446,-0.0,inf,STATIC
50,2,Obstacle,0.446,-0.0,inf,STATIC
51,2,Obstacle,0.446,-0.0,inf,STATIC
52,2,Obstacle,0.447,-0.0,inf,STATIC
53,2,Obstacle,0.447,-0.001,inf,STATIC
54,2,Obstacle,0.447,-0.001,inf,STATIC
55,2,Obstacle,0.447,-0.0,inf,STATIC
56,2,Obstacle,0.446,-0.0,inf,STATIC
57,2,Obstacle,0.446,-0.0,inf,STATIC
58,2,Obstacle,0.446,-0.0,inf,STATIC
59,2,Obstacle,0.447,-0.0,inf,STATIC
60,2,Obstacle,0.447,-0.0,inf,STATIC
61,2,Obstacle,0.447,-0.0,inf,STATIC
62,2,Obstacle,0.446,-0.0,inf,STATIC
63,2,Obstacle,0.446,-0.0,inf,STATIC
64,2,Obstacle,0.446,-0.0,inf,STATIC
65,2,Obstacle,0.446,0.0,inf,STATIC
66,2,Obstacle,0.446,0.0,inf,STATIC
67,2,Obstacle,0.446,0.0,inf,STATIC
68,2,Obstacle,0.446,0.0,inf,STATIC
69,2,Obstacle,0.446,0.0,inf,STATIC
70,2,Obstacle,0.447,-0.0,inf,STATIC
71,2,Obstacle,0.447,-0.0,inf,STATIC
72,2,Obstacle,0.446,-0.0,inf,STATIC
73,2,Obstacle,0.446,-0.0,inf,STATIC
74,2,Obstacle,0.446,0.0,inf,STATIC
75,2,Obstacle,0.446,0.0,inf,STATIC
76,2,Obstacle,0.446,0.0,inf,STATIC
77,2,Obstacle,0.446,0.0,inf,STATIC
78,2,Obstacle,0.446,0.0,inf,STATIC
79,2,Obstacle,0.446,0.0,inf,STATIC
80,2,Obstacle,0.446,0.0,inf,STATIC
81,2,Obstacle,0.445,0.0,inf,STATIC
82,2,Obstacle,0.445,0.0,inf,STATIC
83,2,Obstacle,0.446,0.0,inf,STATIC
84,2,Obstacle,0.446,0.0,inf,STATIC
85,2,Obstacle,0.447,-0.0,inf,STATIC
86,2,Obstacle,0.447,-0.0,inf,STATIC
87,2,Obstacle,0.446,-0.0,inf,STATIC
88,2,Obstacle,0.446,-0.0,inf,STATIC
89,2,Obstacle,0.446,-0.0,inf,STATIC
90,2,Obstacle,0.446,-0.0,inf,STATIC
91,2,Obstacle,0.446,0.0,inf,STATIC
92,2,Obstacle,0.446,0.0,inf,STATIC
93,2,Obstacle,0.446,0.0,inf,STATIC
94,2,Obstacle,0.446,0.0,inf,STATIC
95,2,Obstacle,0.446,0.0,inf,STATIC
96,2,Obstacle,0.445,0.0,inf,STATIC
97,2,Obstacle,0.445,0.0,inf,STATIC
98,2,Obstacle,0.445,0.0,inf,STATIC
99,2,Obstacle,0.445,0.0,inf,STATIC
100,2,Obstacle,0.445,0.0,inf,STATIC
101,2,Obstacle,0.445,0.0,inf,STATIC
102,2,Obstacle,0.445,0.0,inf,STATIC
103,2,Obstacle,0.445,0.0,inf,STATIC
104,2,Obstacle,0.445,0.0,inf,STATIC
105,2,Obstacle,0.445,0.0,inf,STATIC
106,2,Obstacle,0.445,0.0,inf,STATIC
107,2,Obstacle,0.445,0.0,inf,STATIC
108,2,Obstacle,0.445,0.0,inf,STATIC
109,2,Obstacle,0.446,0.0,inf,STATIC
110,2,Obstacle,0.446,-0.0,inf,STATIC
111,2,Obstacle,0.447,-0.0,inf,STATIC
112,2,Obstacle,0.447,-0.001,inf,STATIC
113,2,Obstacle,0.447,-0.001,inf,STATIC
114,2,Obstacle,0.447,-0.001,inf,STATIC
115,2,Obstacle,0.447,-0.001,inf,STATIC
116,2,Obstacle,0.447,-0.001,inf,STATIC
117,2,Obstacle,0.446,-0.001,inf,STATIC
118,2,Obstacle,0.446,-0.0,inf,STATIC
119,2,Obstacle,0.446,-0.0,inf,STATIC
120,2,Obstacle,0.446,-0.0,inf,STATIC
121,2,Obstacle,0.447,-0.0,inf,STATIC
122,2,Obstacle,0.447,-0.0,inf,STATIC
123,2,Obstacle,0.447,-0.0,inf,STATIC
124,2,Obstacle,0.447,-0.001,inf,STATIC
125,2,Obstacle,0.447,-0.001,inf,STATIC
126,2,Obstacle,0.447,-0.001,inf,STATIC
127,2,Obstacle,0.446,-0.0,inf,STATIC
128,2,Obstacle,0.446,-0.0,inf,STATIC
129,2,Obstacle,0.446,-0.0,inf,STATIC
130,2,Obstacle,0.446,0.0,inf,STATIC
131,2,Obstacle,0.446,0.0,inf,STATIC
132,2,Obstacle,0.446,0.0,inf,STATIC
133,2,Obstacle,0.446,0.0,inf,STATIC
134,2,Obstacle,0.447,-0.0,inf,STATIC
135,2,Obstacle,0.447,-0.0,inf,STATIC
136,2,Obstacle,0.447,-0.0,inf,STATIC
137,2,Obstacle,0.447,-0.0,inf,STATIC
138,2,Obstacle,0.446,-0.0,inf,STATIC
139,2,Obstacle,0.446,-0.0,inf,STATIC
140,2,Obstacle,0.447,-0.0,inf,STATIC
141,2,Obstacle,0.447,-0.0,inf,STATIC
142,2,Obstacle,0.447,-0.0,inf,STATIC
143,2,Obstacle,0.446,-0.0,inf,STATIC
144,2,Obstacle,0.446,-0.0,inf,STATIC
145,2,Obstacle,0.446,0.0,inf,STATIC
146,2,Obstacle,0.446,0.0,inf,STATIC
147,2,Obstacle,0.446,0.0,inf,STATIC
148,2,Obstacle,0.446,0.0,inf,STATIC
149,2,Obstacle,0.446,0.0,inf,STATIC
150,2,Obstacle,0.445,0.0,inf,STATIC
151,2,Obstacle,0.445,0.001,inf,STATIC
152,2,Obstacle,0.445,0.001,inf,STATIC
153,2,Obstacle,0.445,0.001,inf,STATIC
154,2,Obstacle,0.445,0.001,inf,STATIC
155,2,Obstacle,0.445,0.001,inf,STATIC
156,2,Obstacle,0.445,0.001,inf,STATIC
157,2,Obstacle,0.445,0.001,inf,STATIC
158,2,Obstacle,0.445,0.0,inf,STATIC
159,2,Obstacle,0.445,0.0,inf,STATIC
160,2,Obstacle,0.445,0.0,inf,STATIC
161,2,Obstacle,0.445,0.0,inf,STATIC
162,2,Obstacle,0.445,0.0,inf,STATIC
163,2,Obstacle,0.445,0.0,inf,STATIC
164,2,Obstacle,0.445,0.0,inf,STATIC
