frame_id,timestamp,fps,total_detections,global_action
1,1776838712.080753,110.48,0,GO
2,1776838712.209266,0.12,0,GO
3,1776838712.3097782,10.81,1,SLOW
4,1776838712.3912838,10.36,1,SLOW
5,1776838712.4658046,12.82,1,SLOW
6,1776838712.5413234,12.9,1,SLOW
7,1776838712.6173422,12.74,1,SLOW
8,1776838712.683871,15.26,1,SLOW
9,1776838712.7622437,12.66,1,SLOW
10,1776838712.8437586,12.6,1,SLOW
11,1776838712.9197648,12.9,1,SLOW
12,1776838712.9842713,15.26,1,SLOW
13,1776838713.057785,12.99,1,SLOW
14,1776838713.1232958,15.75,1,SLOW
15,1776838713.1833026,16.0,1,SLOW
16,1776838713.2478204,15.39,1,SLOW
17,1776838713.3108196,16.52,1,SLOW
18,1776838713.373356,15.99,1,SLOW
19,1776838713.438866,15.15,1,SLOW
20,1776838713.5018656,16.0,1,SLOW
21,1776838713.5643733,15.62,1,SLOW
22,1776838713.6258821,15.75,1,SLOW
23,1776838713.689882,16.26,1,SLOW
24,1776838713.754394,15.15,1,SLOW
25,1776838713.821402,15.75,1,SLOW
26,1776838713.8829114,15.74,1,SLOW
27,1776838713.9453053,16.24,1,SLOW
28,1776838714.0123045,15.43,1,SLOW
29,1776838714.0708108,15.75,1,SLOW
30,1776838714.1413221,15.62,1,SLOW
31,1776838714.2153275,12.58,1,SLOW
32,1776838714.2788343,15.75,1,SLOW
33,1776838714.3433511,15.62,1,SLOW
34,1776838714.407351,15.74,1,SLOW
35,1776838714.4758592,15.27,1,SLOW
36,1776838714.5523725,12.82,1,SLOW
37,1776838714.6183805,15.74,1,SLOW
38,1776838714.687883,15.26,1,SLOW
39,1776838714.7573972,12.5,1,SLOW
40,1776838714.8259506,16.26,1,SLOW
41,1776838714.8989437,12.9,1,SLOW
42,1776838714.961462,16.13,1,SLOW
43,1776838715.0329762,15.27,1,SLOW
44,1776838715.1069758,12.74,1,SLOW
45,1776838715.1686463,15.75,1,SLOW
46,1776838715.2315118,15.5,1,SLOW
47,1776838715.2965117,16.26,1,SLOW
48,1776838715.3610213,16.13,1,SLOW
49,1776838715.4415443,12.27,1,SLOW
50,1776838715.5185623,12.9,1,SLOW
51,1776838715.5820596,16.0,1,SLOW
52,1776838715.6425924,15.62,1,SLOW
53,1776838715.7045925,15.74,1,SLOW
54,1776838715.771113,16.0,1,SLOW
55,1776838715.83663,15.62,1,SLOW
56,1776838715.8996289,15.5,1,SLOW
57,1776838715.9601462,15.62,1,SLOW
58,1776838716.0236533,15.74,1,SLOW
59,1776838716.088656,15.75,1,SLOW
60,1776838716.1481733,16.13,1,SLOW
61,1776838716.2171764,15.5,1,SLOW
62,1776838716.2786825,15.5,1,SLOW
63,1776838716.3411956,15.87,1,SLOW
64,1776838716.4041953,15.74,1,SLOW
65,1776838716.4697032,15.75,1,SLOW
66,1776838716.530216,15.62,1,SLOW
67,1776838716.596216,16.53,1,SLOW
68,1776838716.6581779,15.38,1,SLOW
69,1776838716.720179,15.88,1,SLOW
70,1776838716.786689,16.53,1,SLOW
71,1776838716.8622172,12.19,1,SLOW
72,1776838716.9277272,16.25,1,SLOW
73,1776838716.9907305,16.26,1,SLOW
74,1776838717.0522466,15.15,1,SLOW
75,1776838717.118757,15.74,1,SLOW
76,1776838717.1822686,15.87,1,SLOW
77,1776838717.247788,15.63,1,SLOW
78,1776838717.324289,12.58,1,SLOW
79,1776838717.3842921,16.26,1,SLOW
80,1776838717.4498045,15.15,1,SLOW
81,1776838717.5158129,15.74,1,SLOW
82,1776838717.5783281,15.74,1,SLOW
83,1776838717.6428683,16.13,1,SLOW
84,1776838717.7058678,15.49,1,SLOW
85,1776838717.7653775,15.87,1,SLOW
86,1776838717.835914,15.75,1,SLOW
87,1776838717.9069138,12.73,1,SLOW
88,1776838717.9724214,15.5,1,SLOW
89,1776838718.0418868,16.0,1,SLOW
90,1776838718.11389,12.66,1,SLOW
91,1776838718.172397,16.8,1,SLOW
92,1776838718.2399096,14.93,1,SLOW
93,1776838718.3109124,15.74,1,SLOW
94,1776838718.3854213,12.42,1,SLOW
95,1776838718.4479308,15.87,1,SLOW
96,1776838718.5099316,15.75,1,SLOW
97,1776838718.5744371,15.75,1,SLOW
98,1776838718.638951,15.63,1,SLOW
99,1776838718.7039511,15.74,1,SLOW
100,1776838718.767463,15.62,1,SLOW
101,1776838718.8319747,15.75,1,SLOW
